source	target	weight	correlation
ASV1	ASV16	1	1
ASV3	ASV76	1	-1
ASV3	ASV358	1	-1
ASV3	ASV490	1	-1
ASV9	ASV88	1	1
ASV30	ASV747	1	1
ASV24	ASV75	1	1
ASV23	ASV866	1	-1
ASV44	ASV494	1	1
ASV35	ASV119	1	1
ASV78	ASV219	1	1
ASV78	ASV254	1	-1
ASV29	ASV344	1	-1
ASV52	ASV214	1	1
ASV48	ASV749	1	-1
ASV81	ASV2432	1	1
ASV38	ASV105	1	-1
ASV38	ASV333	1	-1
ASV38	ASV882	1	-1
ASV99	ASV594	1	1
ASV105	ASV333	1	1
ASV105	ASV882	1	1
ASV47	ASV155	1	-1
ASV67	ASV919	1	-1
ASV57	ASV391	1	1
ASV76	ASV358	1	1
ASV76	ASV490	1	1
ASV64	ASV567	1	-1
ASV64	ASV584	1	-1
ASV92	ASV264	1	1
ASV92	ASV352	1	1
ASV92	ASV539	1	1
ASV53	ASV375	1	1
ASV96	ASV415	1	1
ASV170	ASV95	1	-1
ASV135	ASV208	1	-1
ASV135	ASV302	1	-1
ASV176	ASV142	1	-1
ASV151	ASV362	1	-1
ASV5568	ASV4813	1	1
ASV5568	ASV4816	1	1
ASV5568	ASV4866	1	1
ASV5568	ASV4821	1	1
ASV5568	ASV4822	1	1
ASV5568	ASV4835	1	1
ASV132	ASV381	1	-1
ASV208	ASV302	1	1
ASV140	ASV1032	1	1
ASV614	ASV172	1	1
ASV379	ASV638	1	-1
ASV107	ASV481	1	1
ASV107	ASV269	1	1
ASV98	ASV504	1	1
ASV264	ASV352	1	1
ASV264	ASV539	1	1
ASV109	ASV416	1	1
ASV318	ASV376	1	1
ASV219	ASV254	1	-1
ASV401	ASV574	1	-1
ASV162	ASV378	1	-1
ASV2404	ASV2422	1	1
ASV2404	ASV2394	1	1
ASV246	ASV273	1	1
ASV220	ASV253	1	1
ASV263	ASV229	1	-1
ASV168	ASV369	1	1
ASV333	ASV882	1	1
ASV701	ASV350	1	1
ASV4085	ASV4092	1	1
ASV4085	ASV4118	1	1
ASV643	ASV348	1	-1
ASV2429	ASV2391	1	1
ASV358	ASV490	1	1
