node_id	degree	weight_degree	closeness_centrality	betweenness_centrality	eigenvector_centrality
ASV1	1	1	1	0	1.15068537696723e-17
ASV3	3	3	0.333333333333333	0	0
ASV9	1	1	1	0	0
ASV30	1	1	1	0	2.30137075393447e-17
ASV16	1	1	1	0	1.15068537696723e-17
ASV24	1	1	1	0	3.4520561309017e-17
ASV23	1	1	1	0	2.30137075393447e-17
ASV44	1	1	1	0	1.15068537696723e-17
ASV35	1	1	1	0	2.30137075393447e-17
ASV78	2	2	0.5	0	2.30137075393447e-17
ASV29	1	1	1	0	1.15068537696723e-17
ASV52	1	1	1	0	2.30137075393447e-17
ASV48	1	1	1	0	3.4520561309017e-17
ASV81	1	1	1	0	0
ASV38	3	3	0.333333333333333	0	2.30137075393447e-17
ASV99	1	1	1	0	1.15068537696723e-17
ASV105	3	3	0.333333333333333	0	4.60274150786893e-17
ASV47	1	1	1	0	1.15068537696723e-17
ASV67	1	1	1	0	2.30137075393447e-17
ASV57	1	1	1	0	1.15068537696723e-17
ASV76	3	3	0.333333333333333	0	2.30137075393447e-17
ASV64	2	2	0.5	0	4.60274150786893e-17
ASV92	3	3	0.333333333333333	0	6.9041122618034e-17
ASV88	1	1	1	0	2.30137075393447e-17
ASV53	1	1	1	0	1.15068537696723e-17
ASV96	1	1	1	0	2.30137075393447e-17
ASV170	1	1	1	0	0
ASV75	1	1	1	0	2.30137075393447e-17
ASV135	2	2	0.5	0	0
ASV176	1	1	1	0	1.15068537696723e-17
ASV95	1	1	1	0	1.15068537696723e-17
ASV119	1	1	1	0	1.15068537696723e-17
ASV151	1	1	1	0	1.15068537696723e-17
ASV5568	6	6	0.166666666666667	0	1.38082245236068e-16
ASV132	1	1	1	0	2.30137075393447e-17
ASV155	1	1	1	0	1.15068537696723e-17
ASV208	2	2	0.5	0	2.30137075393447e-17
ASV344	1	1	1	0	2.30137075393447e-17
ASV140	1	1	1	0	1.15068537696723e-17
ASV614	1	1	1	0	2.30137075393447e-17
ASV379	1	1	1	0	1.15068537696723e-17
ASV107	2	2	0.5	0	2.30137075393447e-17
ASV172	1	1	1	0	1.15068537696723e-17
ASV98	1	1	1	0	0
ASV264	3	3	0.333333333333333	0	2.30137075393447e-17
ASV214	1	1	1	0	0
ASV109	1	1	1	0	0
ASV318	1	1	1	0	0
ASV219	2	2	0.5	0	2.30137075393447e-17
ASV142	1	1	1	0	2.30137075393447e-17
ASV401	1	1	1	0	2.30137075393447e-17
ASV162	1	1	1	0	1.15068537696723e-17
ASV2404	2	2	0.5	0	2.30137075393447e-17
ASV246	1	1	1	0	0
ASV220	1	1	1	0	1.15068537696723e-17
ASV263	1	1	1	0	0
ASV168	1	1	1	0	1.15068537696723e-17
ASV415	1	1	1	0	1.15068537696723e-17
ASV302	2	2	0.5	0	0
ASV273	1	1	1	0	2.30137075393447e-17
ASV333	3	3	0.333333333333333	0	2.30137075393447e-17
ASV701	1	1	1	0	0
ASV4085	2	2	0.5	0	4.60274150786893e-17
ASV643	1	1	1	0	1.15068537696723e-17
ASV254	2	2	0.5	0	0
ASV2429	1	1	1	0	1.15068537696723e-17
ASV376	1	1	1	0	1.15068537696723e-17
ASV350	1	1	1	0	1.15068537696723e-17
ASV2391	1	1	1	0	2.30137075393447e-17
ASV494	1	1	1	0	0
ASV358	3	3	0.333333333333333	0	0
ASV166	2	2	0.5	0	0
ASV4813	6	6	0.166666666666667	0	9.20548301573786e-17
ASV425	2	2	0.5	0	2.30137075393447e-17
ASV5561	10	10	0.1	0	0.999999999999999
ASV562	1	1	1	0	1.15068537696723e-17
ASV352	3	3	0.333333333333333	0	6.9041122618034e-17
ASV4080	4	4	0.25	0	9.20548301573786e-17
ASV161	1	1	1	0	2.30137075393447e-17
ASV567	2	2	0.5	0	2.30137075393447e-17
ASV362	1	1	1	0	0
ASV410	1	1	1	0	3.4520561309017e-17
ASV381	1	1	1	0	1.15068537696723e-17
ASV283	1	1	1	0	1.15068537696723e-17
ASV194	1	1	1	0	1.15068537696723e-17
ASV508	1	1	1	0	1.15068537696723e-17
ASV755	1	1	1	0	1.15068537696723e-17
ASV584	2	2	0.5	0	0
ASV215	1	1	1	0	2.30137075393447e-17
ASV919	1	1	1	0	1.15068537696723e-17
ASV229	1	1	1	0	1.15068537696723e-17
ASV411	1	1	1	0	0
ASV4816	6	6	0.166666666666667	0	1.84109660314757e-16
ASV769	1	1	1	0	1.15068537696723e-17
ASV247	1	1	1	0	3.4520561309017e-17
ASV747	1	1	1	0	3.4520561309017e-17
ASV448	5	5	0.2	0	9.20548301573786e-17
ASV563	1	1	1	0	1.15068537696723e-17
ASV539	3	3	0.333333333333333	0	4.60274150786893e-17
ASV233	2	2	0.5	0	0
ASV378	1	1	1	0	3.4520561309017e-17
ASV481	2	2	0.5	0	0
ASV253	1	1	1	0	3.4520561309017e-17
ASV348	1	1	1	0	2.30137075393447e-17
ASV808	2	2	0.5	0	4.60274150786893e-17
ASV138	6	6	0.166666666666667	0	1.38082245236068e-16
ASV440	6	6	0.166666666666667	0	1.38082245236068e-16
ASV834	1	1	1	0	2.30137075393447e-17
ASV369	1	1	1	0	2.30137075393447e-17
ASV594	1	1	1	0	1.15068537696723e-17
ASV866	1	1	1	0	1.15068537696723e-17
ASV341	1	1	1	0	1.15068537696723e-17
ASV609	2	2	0.5	0	0
ASV882	3	3	0.333333333333333	0	4.60274150786893e-17
ASV303	1	1	1	0	2.30137075393447e-17
ASV5560	10	10	0.1	0	0.999999999999999
ASV383	1	1	1	0	2.30137075393447e-17
ASV442	1	1	1	0	1.15068537696723e-17
ASV343	5	5	0.2	0	1.38082245236068e-16
ASV716	1	1	1	0	1.15068537696723e-17
ASV274	1	1	1	0	3.4520561309017e-17
ASV536	6	6	0.166666666666667	0	1.38082245236068e-16
ASV269	2	2	0.5	0	2.30137075393447e-17
ASV351	1	1	1	0	0
ASV3213	7	7	0.142857142857143	0	4.60274150786893e-17
ASV757	1	1	1	0	1.15068537696723e-17
ASV416	1	1	1	0	1.15068537696723e-17
ASV490	3	3	0.333333333333333	0	0
ASV439	1	1	1	0	0
ASV815	1	1	1	0	3.4520561309017e-17
ASV434	6	6	0.166666666666667	0	1.38082245236068e-16
ASV340	5	5	0.2	0	9.20548301573786e-17
ASV364	5	5	0.2	0	4.60274150786893e-17
ASV721	6	6	0.166666666666667	0	9.20548301573786e-17
ASV488	7	7	0.142857142857143	0	1.38082245236068e-16
ASV543	2	2	0.5	0	2.30137075393447e-17
ASV589	2	2	0.5	0	2.30137075393447e-17
ASV288	6	6	0.166666666666667	0	2.30137075393447e-16
ASV326	1	1	1	0	1.15068537696723e-17
ASV4092	2	2	0.5	0	2.30137075393447e-17
ASV382	1	1	1	0	1.15068537696723e-17
ASV405	1	1	1	0	1.15068537696723e-17
ASV504	1	1	1	0	2.30137075393447e-17
ASV4866	6	6	0.166666666666667	0	1.38082245236068e-16
ASV530	6	6	0.166666666666667	0	4.60274150786893e-17
ASV391	1	1	1	0	2.30137075393447e-17
ASV3223	1	1	1	0	0
ASV4076	4	4	0.25	0	4.60274150786893e-17
ASV644	1	1	1	0	1.15068537696723e-17
ASV238	3	3	0.333333333333333	0	0
ASV749	1	1	1	0	1.15068537696723e-17
ASV430	1	1	1	0	1.15068537696723e-17
ASV669	7	7	0.142857142857143	0	9.20548301573786e-17
ASV597	6	6	0.166666666666667	0	1.38082245236068e-16
ASV353	7	7	0.142857142857143	0	9.20548301573786e-17
ASV4821	6	6	0.166666666666667	0	1.38082245236068e-16
ASV185	3	3	0.333333333333333	0	4.60274150786893e-17
ASV338	6	6	0.166666666666667	0	1.38082245236068e-16
ASV6948	3	3	0.333333333333333	0	4.60274150786893e-17
ASV638	1	1	1	0	0
ASV2432	1	1	1	0	2.30137075393447e-17
ASV3237	1	1	1	0	1.15068537696723e-17
ASV4093	4	4	0.25	0	4.60274150786893e-17
ASV385	1	1	1	0	1.15068537696723e-17
ASV2374	5	5	0.2	0	4.60274150786893e-17
ASV801	2	2	0.5	0	4.60274150786893e-17
ASV449	1	1	1	0	0
ASV216	3	3	0.333333333333333	0	2.30137075393447e-17
ASV375	1	1	1	0	2.30137075393447e-17
ASV356	7	7	0.142857142857143	0	9.20548301573786e-17
