source	target	weight	correlation
ASV1	ASV214	1	1
ASV2	ASV88	1	1
ASV3	ASV906	1	-1
ASV9	ASV379	1	1
ASV9	ASV220	1	1
ASV19	ASV2391	1	-1
ASV15	ASV100	1	1
ASV15	ASV943	1	-1
ASV23	ASV208	1	-1
ASV179	ASV95	1	1
ASV179	ASV77	1	1
ASV45	ASV349	1	1
ASV45	ASV429	1	-1
ASV86	ASV72	1	-1
ASV86	ASV132	1	-1
ASV50	ASV1114	1	1
ASV50	ASV232	1	-1
ASV111	ASV118	1	1
ASV100	ASV943	1	-1
ASV81	ASV384	1	1
ASV153	ASV2404	1	-1
ASV80	ASV115	1	-1
ASV99	ASV117	1	-1
ASV99	ASV569	1	-1
ASV67	ASV320	1	1
ASV67	ASV314	1	1
ASV112	ASV213	1	1
ASV76	ASV311	1	1
ASV76	ASV438	1	1
ASV218	ASV259	1	-1
ASV218	ASV358	1	-1
ASV72	ASV132	1	1
ASV102	ASV264	1	-1
ASV157	ASV151	1	1
ASV96	ASV239	1	-1
ASV75	ASV344	1	-1
ASV139	ASV711	1	-1
ASV207	ASV172	1	1
ASV95	ASV77	1	1
ASV5568	ASV3213	1	1
ASV5568	ASV8062	1	1
ASV5568	ASV8065	1	1
ASV5568	ASV8067	1	1
ASV5568	ASV8066	1	1
ASV5568	ASV8068	1	1
ASV5568	ASV8069	1	1
ASV94	ASV189	1	-1
ASV141	ASV299	1	-1
ASV2373	ASV183	1	1
ASV2373	ASV589	1	1
ASV2373	ASV4840	1	1
ASV379	ASV220	1	1
ASV107	ASV337	1	1
ASV107	ASV541	1	1
ASV107	ASV3256	1	1
ASV137	ASV212	1	-1
ASV137	ASV273	1	-1
ASV137	ASV609	1	1
ASV212	ASV273	1	1
ASV212	ASV609	1	-1
ASV117	ASV569	1	1
ASV125	ASV718	1	1
ASV259	ASV358	1	1
ASV311	ASV438	1	1
ASV437	ASV263	1	1
ASV373	ASV549	1	1
ASV386	ASV3223	1	1
ASV386	ASV1091	1	1
ASV228	ASV333	1	1
ASV320	ASV314	1	1
ASV297	ASV755	1	-1
ASV297	ASV505	1	1
ASV168	ASV558	1	1
ASV261	ASV152	1	1
ASV261	ASV2429	1	1
ASV261	ASV4813	1	1
ASV261	ASV4815	1	1
ASV261	ASV3237	1	1
ASV261	ASV516	1	1
ASV261	ASV771	1	1
ASV261	ASV4818	1	1
ASV261	ASV4824	1	1
ASV1114	ASV232	1	-1
ASV273	ASV609	1	-1
ASV701	ASV456	1	1
ASV202	ASV295	1	-1
ASV152	ASV2429	1	1
ASV152	ASV4813	1	1
ASV152	ASV4815	1	1
ASV152	ASV3237	1	1
ASV152	ASV516	1	1
ASV152	ASV771	1	1
ASV152	ASV4818	1	1
ASV152	ASV4824	1	1
ASV2429	ASV4813	1	1
ASV2429	ASV4815	1	1
ASV2429	ASV3237	1	1
ASV2429	ASV516	1	1
ASV2429	ASV771	1	1
ASV2429	ASV4818	1	1
ASV2429	ASV4824	1	1
ASV278	ASV393	1	1
ASV278	ASV4078	1	1
ASV278	ASV597	1	1
ASV278	ASV4860	1	1
ASV350	ASV813	1	1
ASV183	ASV589	1	1
ASV183	ASV4840	1	1
ASV4813	ASV4815	1	1
ASV4813	ASV3237	1	1
ASV4813	ASV516	1	1
ASV4813	ASV771	1	1
ASV4813	ASV4818	1	1
ASV4813	ASV4824	1	1
ASV300	ASV803	1	1
ASV266	ASV3242	1	1
ASV266	ASV455	1	1
ASV878	ASV556	1	-1
ASV4079	ASV383	1	1
ASV483	ASV1423	1	1
ASV381	ASV369	1	-1
ASV194	ASV2384	1	1
ASV591	ASV339	1	1
ASV349	ASV429	1	-1
ASV755	ASV505	1	-1
ASV3242	ASV455	1	1
ASV306	ASV442	1	1
ASV393	ASV4078	1	1
ASV393	ASV597	1	1
ASV393	ASV4860	1	1
ASV769	ASV440	1	1
ASV769	ASV834	1	1
ASV769	ASV8748	1	1
ASV769	ASV5594	1	1
ASV769	ASV8749	1	1
ASV769	ASV8751	1	1
ASV769	ASV8754	1	1
ASV235	ASV8074	1	1
ASV378	ASV518	1	1
ASV4078	ASV597	1	1
ASV4078	ASV4860	1	1
ASV527	ASV570	1	1
ASV440	ASV834	1	1
ASV440	ASV8748	1	1
ASV440	ASV5594	1	1
ASV440	ASV8749	1	1
ASV440	ASV8751	1	1
ASV440	ASV8754	1	1
ASV834	ASV8748	1	1
ASV834	ASV5594	1	1
ASV834	ASV8749	1	1
ASV834	ASV8751	1	1
ASV834	ASV8754	1	1
ASV341	ASV1305	1	1
ASV533	ASV536	1	1
ASV343	ASV7054	1	1
ASV600	ASV997	1	1
ASV1236	ASV2465	1	1
ASV3213	ASV8062	1	1
ASV3213	ASV8065	1	1
ASV3213	ASV8067	1	1
ASV3213	ASV8066	1	1
ASV3213	ASV8068	1	1
ASV3213	ASV8069	1	1
ASV439	ASV2756	1	1
ASV364	ASV3295	1	1
ASV488	ASV728	1	1
ASV4814	ASV4821	1	1
ASV4814	ASV4822	1	1
ASV4814	ASV4835	1	1
ASV543	ASV9261	1	1
ASV543	ASV3402	1	1
ASV543	ASV9262	1	1
ASV543	ASV9263	1	1
ASV543	ASV9265	1	1
ASV337	ASV541	1	1
ASV337	ASV3256	1	1
ASV589	ASV4840	1	1
ASV405	ASV6383	1	1
ASV3223	ASV1091	1	1
ASV8750	ASV801	1	1
ASV8750	ASV3298	1	1
ASV8750	ASV2637	1	1
ASV8750	ASV8769	1	1
ASV8750	ASV8773	1	1
ASV4815	ASV3237	1	1
ASV4815	ASV516	1	1
ASV4815	ASV771	1	1
ASV4815	ASV4818	1	1
ASV4815	ASV4824	1	1
ASV669	ASV2406	1	1
ASV597	ASV4860	1	1
ASV4821	ASV4822	1	1
ASV4821	ASV4835	1	1
ASV4199	ASV4838	1	1
ASV3237	ASV516	1	1
ASV3237	ASV771	1	1
ASV3237	ASV4818	1	1
ASV3237	ASV4824	1	1
ASV8748	ASV5594	1	1
ASV8748	ASV8749	1	1
ASV8748	ASV8751	1	1
ASV8748	ASV8754	1	1
ASV516	ASV771	1	1
ASV516	ASV4818	1	1
ASV516	ASV4824	1	1
ASV801	ASV3298	1	1
ASV801	ASV2637	1	1
ASV801	ASV8769	1	1
ASV801	ASV8773	1	1
ASV7043	ASV1595	1	1
ASV791	ASV409	1	1
ASV2390	ASV7512	1	1
ASV2390	ASV7514	1	1
ASV2390	ASV7515	1	1
ASV2390	ASV7516	1	1
ASV6371	ASV6372	1	1
ASV771	ASV4818	1	1
ASV771	ASV4824	1	1
ASV4822	ASV4835	1	1
ASV7513	ASV2418	1	1
ASV7513	ASV7521	1	1
ASV541	ASV3256	1	1
ASV758	ASV4105	1	1
ASV758	ASV4825	1	1
ASV758	ASV2733	1	1
ASV2418	ASV7521	1	1
ASV4105	ASV4825	1	1
ASV4105	ASV2733	1	1
ASV832	ASV4837	1	1
ASV3298	ASV2637	1	1
ASV3298	ASV8769	1	1
ASV3298	ASV8773	1	1
ASV606	ASV2515	1	1
ASV4825	ASV2733	1	1
ASV5594	ASV8749	1	1
ASV5594	ASV8751	1	1
ASV5594	ASV8754	1	1
ASV2637	ASV8769	1	1
ASV2637	ASV8773	1	1
ASV7512	ASV7514	1	1
ASV7512	ASV7515	1	1
ASV7512	ASV7516	1	1
ASV9261	ASV3402	1	1
ASV9261	ASV9262	1	1
ASV9261	ASV9263	1	1
ASV9261	ASV9265	1	1
ASV8769	ASV8773	1	1
ASV8749	ASV8751	1	1
ASV8749	ASV8754	1	1
ASV8062	ASV8065	1	1
ASV8062	ASV8067	1	1
ASV8062	ASV8066	1	1
ASV8062	ASV8068	1	1
ASV8062	ASV8069	1	1
ASV3402	ASV9262	1	1
ASV3402	ASV9263	1	1
ASV3402	ASV9265	1	1
ASV7514	ASV7515	1	1
ASV7514	ASV7516	1	1
ASV9262	ASV9263	1	1
ASV9262	ASV9265	1	1
ASV4818	ASV4824	1	1
ASV9263	ASV9265	1	1
ASV7515	ASV7516	1	1
ASV8751	ASV8754	1	1
ASV8065	ASV8067	1	1
ASV8065	ASV8066	1	1
ASV8065	ASV8068	1	1
ASV8065	ASV8069	1	1
ASV8067	ASV8066	1	1
ASV8067	ASV8068	1	1
ASV8067	ASV8069	1	1
ASV8066	ASV8068	1	1
ASV8066	ASV8069	1	1
ASV8068	ASV8069	1	1
