node_id	degree	weight_degree	closeness_centrality	betweenness_centrality	eigenvector_centrality
ASV1	1	1	1	0	3.29140637679066e-17
ASV2	1	1	1	0	5.48567729465109e-17
ASV3	1	1	1	0	5.48567729465109e-17
ASV9	2	2	0.5	0	8.77708367144175e-17
ASV19	1	1	1	0	4.38854183572087e-17
ASV15	2	2	0.5	0	6.58281275358131e-17
ASV23	1	1	1	0	5.48567729465109e-17
ASV179	2	2	0.5	0	8.77708367144175e-17
ASV45	2	2	0.5	0	1.09713545893022e-16
ASV86	2	2	0.5	0	8.77708367144175e-17
ASV50	2	2	0.5	0	1.09713545893022e-16
ASV111	1	1	1	0	6.58281275358131e-17
ASV100	2	2	0.5	0	8.77708367144175e-17
ASV81	1	1	1	0	5.48567729465109e-17
ASV153	1	1	1	0	4.38854183572087e-17
ASV80	1	1	1	0	4.38854183572087e-17
ASV118	1	1	1	0	6.58281275358131e-17
ASV99	2	2	0.5	0	1.09713545893022e-16
ASV67	2	2	0.5	0	1.09713545893022e-16
ASV112	1	1	1	0	4.38854183572087e-17
ASV76	2	2	0.5	0	1.09713545893022e-16
ASV218	2	2	0.5	0	6.58281275358131e-17
ASV72	2	2	0.5	0	6.58281275358131e-17
ASV102	1	1	1	0	3.29140637679066e-17
ASV88	1	1	1	0	5.48567729465109e-17
ASV157	1	1	1	0	3.29140637679066e-17
ASV96	1	1	1	0	5.48567729465109e-17
ASV75	1	1	1	0	4.38854183572087e-17
ASV139	1	1	1	0	4.38854183572087e-17
ASV207	1	1	1	0	4.38854183572087e-17
ASV95	2	2	0.5	0	1.09713545893022e-16
ASV151	1	1	1	0	5.48567729465109e-17
ASV5568	7	7	0.142857142857143	0	8.77708367144175e-17
ASV115	1	1	1	0	4.38854183572087e-17
ASV77	2	2	0.5	0	8.77708367144175e-17
ASV132	2	2	0.5	0	1.09713545893022e-16
ASV94	1	1	1	0	4.38854183572087e-17
ASV208	1	1	1	0	4.38854183572087e-17
ASV344	1	1	1	0	4.38854183572087e-17
ASV141	1	1	1	0	4.38854183572087e-17
ASV2373	3	3	0.333333333333333	0	1.31656255071626e-16
ASV379	2	2	0.5	0	1.09713545893022e-16
ASV107	3	3	0.333333333333333	0	1.31656255071626e-16
ASV213	1	1	1	0	3.29140637679066e-17
ASV137	3	3	0.333333333333333	0	1.31656255071626e-16
ASV189	1	1	1	0	4.38854183572087e-17
ASV212	3	3	0.333333333333333	0	1.31656255071626e-16
ASV172	1	1	1	0	3.29140637679066e-17
ASV117	2	2	0.5	0	1.09713545893022e-16
ASV125	1	1	1	0	3.29140637679066e-17
ASV259	2	2	0.5	0	1.09713545893022e-16
ASV311	2	2	0.5	0	8.77708367144175e-17
ASV437	1	1	1	0	3.29140637679066e-17
