"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12","Abundance","Type","phylum","class","order","family","genus","species"
"ASV1",0.133847122,0.111984901,0.091302296,0.121539792,0.116467443,0.092442592,0.111264024,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","s__Bradyrhizobium_sp._CCGE-LA001"
"ASV2",0.025204467,0.038927336,0.068771626,0.037747719,0.031102548,0.029411765,0.038527577,"phoD","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Lysobacter","s__Lysobacter_antibioticus"
"ASV3",0.054852155,0.035860333,0.038455489,0,0.043724442,0.03853413,0.035237758,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","s__Bradyrhizobium_sp._CCGE-LA001"
"ASV9",0.013408304,0.021154451,0.019974835,0.017065115,0.020800566,0.01529569,0.017949827,"phoD","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_stutzeri"
"ASV19",0.028821957,0.017654923,0.025007864,0.021115131,0.020721925,0.03633218,0.02494233,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Ensifer","s__Ensifer_sojae"
"ASV15",0.008965083,0.008453916,0.00868984,0.005740799,0.006684492,0.013919472,0.008742267,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Sinorhizobium","s__Sinorhizobium_medicae"
"ASV23",0.005858761,0.003027682,0.005583517,0.007510223,0.00581944,0.007431582,0.005871868,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV179",0.005426235,0.009201007,0.008375275,0.0101447,0.01093111,0.004993709,0.008178673,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV45",0.003892734,0.005386914,0.004875747,0.005544196,0.002870399,0.006134004,0.004783999,"phoD","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_stutzeri"
"ASV86",0.006409248,0.00578012,0.005190311,0.006330607,0.006684492,0.005662158,0.006009489,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Sinorhizobium","s__Sinorhizobium_meliloti"
"ASV50",0.002988361,0.003381567,0.005033029,0.002555835,0.004207298,0.004482542,0.003774772,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","s__Bradyrhizobium_sp._SK17"
