	s__VTX00444	s__VTX00435	s__VTX00350	s__VTX00308	s__VTX00283	s__VTX00281	s__VTX00238	s__VTX00222	s__VTX00163	s__VTX00051	s__VTX00009	s__VTX00005	s__VTX00004
s__VTX00444	0	0.927633657043918	0	0	0	0	0	0	0	0	0	0	0
s__VTX00435	0.927633657043918	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00350	0	0	0	0	0	0	0	0	0	0	0	0	0.826184389323165
s__VTX00308	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00283	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00281	0	0	0	0	0	0	0	0	0	0.885714285714286	0	0	0.94112394811432
s__VTX00238	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00222	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00163	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00051	0	0	0	0	0	0.885714285714286	0	0	0	0	0	0	0.819688599970537
s__VTX00009	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00005	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00004	0	0	0.826184389323165	0	0	0.94112394811432	0	0	0	0.819688599970537	0	0	0
