label	phylum	class	order	family	genus	abundance	Type
s__VTX00444	p__Glomeromycetes	c__Paraglomerales	o__Paraglomeraceae	f__Paraglomeraceae	g__Paraglomus	0.032273686	VT
s__VTX00435	p__Glomeromycetes	c__Paraglomerales	o__Paraglomeraceae	f__Paraglomeraceae	g__Paraglomus	0.000244978	VT
s__VTX00350	p__Glomeromycetes	c__Paraglomerales	o__Paraglomeraceae	f__Paraglomeraceae	g__Paraglomus	0.000501339	VT
s__VTX00308	p__Glomeromycetes	c__Paraglomerales	o__Paraglomeraceae	f__Paraglomeraceae	g__Paraglomus	0.351700564	VT
s__VTX00283	p__Glomeromycetes	c__Archaeosporales	o__Ambisporaceae	f__Ambisporaceae	g__Ambispora	5.7e-05	VT
s__VTX00281	p__Glomeromycetes	c__Paraglomerales	o__Paraglomeraceae	f__Paraglomeraceae	g__Paraglomus	0.006169885	VT
s__VTX00238	p__Glomeromycetes	c__Paraglomerales	o__Paraglomeraceae	f__Paraglomeraceae	g__Paraglomus	0.016424543	VT
s__VTX00222	p__Glomeromycetes	c__Glomerales	o__Glomeraceae	f__Glomeraceae	g__Glomus_o__Glomeraceae	0.155762548	VT
s__VTX00163	p__Glomeromycetes	c__Glomerales	o__Glomeraceae	f__Glomeraceae	g__Glomus_o__Glomeraceae	0.003948043	VT
s__VTX00051	p__Glomeromycetes	c__Archaeosporales	o__Archaeosporaceae	f__Archaeosporaceae	g__Archaeospora_o__Archaeosporaceae	0.027322971	VT
s__VTX00009	p__Glomeromycetes	c__Archaeosporales	o__Archaeosporaceae	f__Archaeosporaceae	g__Archaeospora_o__Archaeosporaceae	0.004153136	VT
s__VTX00005	p__Glomeromycetes	c__Archaeosporales	o__Archaeosporaceae	f__Archaeosporaceae	g__Archaeospora_o__Archaeosporaceae	0.400700735	VT
s__VTX00004	p__Glomeromycetes	c__Archaeosporales	o__Archaeosporaceae	f__Archaeosporaceae	g__Archaeospora_o__Archaeosporaceae	0.000740614	VT
