node_id	degree	weight_degree	closeness_centrality	betweenness_centrality	eigenvector_centrality
s__VTX00444	1	0.927633657043918	1.07801176941627	0	0
s__VTX00435	1	0.927633657043918	1.07801176941627	0	0
s__VTX00350	1	0.826184389323165	0.235884343785918	0	0.43565719192531
s__VTX00308	0	0	NA	0	0
s__VTX00283	0	0	NA	0	0
s__VTX00281	2	1.82683823382861	0.278230166792484	0	0.892914095664111
s__VTX00238	0	0	NA	0	0
s__VTX00222	0	0	NA	0	0
s__VTX00163	0	0	NA	0	0
s__VTX00051	2	1.70540288568482	0.298393816953792	0	0.849265659316594
s__VTX00009	0	0	NA	0	0
s__VTX00005	0	0	NA	0	0
s__VTX00004	3	2.58699693740802	0.386548582852953	2	1
