	LYL1	LYL2	LYL3	LYL4	LYL5	LYL6
s__VTX00444	0.013023415	0.003349855	0.005674244	0.000102547	0.091642454	0.079849598
s__VTX00435	6.84E-05	0	0.000102547	0	0.000717826	0.000581097
s__VTX00350	0	0.001640745	0	0	0	0.001367288
s__VTX00308	0.710271748	0.48220817	0.271235686	0.03260981	0.296701419	0.317176551
s__VTX00283	0	0	0	0	0	0.000341822
s__VTX00281	0.007041531	0.007930268	0.005229875	0.000170911	0.006221159	0.010425568
s__VTX00238	0.011895402	0.004785507	0.066655273	0.00109383	0.009263374	0.004853871
s__VTX00222	0	0	0	0.934575286	0	0
s__VTX00163	0.00030764	0.000649462	0	0	0.022731157	0
s__VTX00051	0.000239275	0.016133994	0	6.84E-05	0.001059648	0.146436507
s__VTX00009	0	0	0	0	0.000239275	0.024679542
s__VTX00005	0.256981713	0.48190053	0.651102376	0.031379251	0.571423688	0.411416852
s__VTX00004	0.000170911	0.00140147	0	0	0	0.002871304
