	s__VTX00444	s__VTX00435	s__VTX00382	s__VTX00350	s__VTX00348	s__VTX00331	s__VTX00308	s__VTX00281	s__VTX00242	s__VTX00238	s__VTX00146	s__VTX00063	s__VTX00051	s__VTX00009	s__VTX00008	s__VTX00005	s__VTX00004
s__VTX00444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00382	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00350	0	0	0	0	0	0	0.845154254728517	0	0	0	0	0	0	0	0	0	0.826184389323165
s__VTX00348	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00331	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
s__VTX00308	0	0	0	0.845154254728517	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00281	0	0	0	0	0	0	0	0	0	0.885714285714286	0	0	0	0	0	0	0
s__VTX00242	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
s__VTX00238	0	0	0	0	0	0	0	0.885714285714286	0	0	0	0	0	0	0	0	0
s__VTX00146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00063	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
s__VTX00051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00009	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
s__VTX00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__VTX00004	0	0	0	0.826184389323165	0	0	0	0	0	0	0	0	0	0	0	0	0
