label	phylum	class	order	family	genus	abundance	Type
s__VTX00444	p__Glomeromycetes	c__Paraglomerales	o__Paraglomeraceae	f__Paraglomeraceae	g__Paraglomus	0.027835698	VT
s__VTX00435	p__Glomeromycetes	c__Paraglomerales	o__Paraglomeraceae	f__Paraglomeraceae	g__Paraglomus	0.000216487	VT
s__VTX00382	p__Glomeromycetes	c__Glomerales	o__Glomeraceae	f__Glomeraceae	g__Glomus_o__Glomeraceae	6.27e-05	VT
s__VTX00350	p__Glomeromycetes	c__Paraglomerales	o__Paraglomeraceae	f__Paraglomeraceae	g__Paraglomus	0.000404489	VT
s__VTX00348	p__Glomeromycetes	c__Paraglomerales	o__Paraglomeraceae	f__Paraglomeraceae	g__Paraglomus	2.85e-05	VT
s__VTX00331	p__Glomeromycetes	c__Glomerales	o__Glomeraceae	f__Glomeraceae	g__Glomus_o__Glomeraceae	9.68e-05	VT
s__VTX00308	p__Glomeromycetes	c__Paraglomerales	o__Paraglomeraceae	f__Paraglomeraceae	g__Paraglomus	0.400011394	VT
s__VTX00281	p__Glomeromycetes	c__Paraglomerales	o__Paraglomeraceae	f__Paraglomeraceae	g__Paraglomus	0.005446363	VT
s__VTX00242	p__Glomeromycetes	c__Archaeosporales	o__Ambisporaceae	f__Ambisporaceae	g__Ambispora	1.71e-05	VT
s__VTX00238	p__Glomeromycetes	c__Paraglomerales	o__Paraglomeraceae	f__Paraglomeraceae	g__Paraglomus	0.005645759	VT
s__VTX00146	p__Glomeromycetes	c__Glomerales	o__Glomeraceae	f__Glomeraceae	g__Glomus_o__Glomeraceae	5.13e-05	VT
s__VTX00063	p__Glomeromycetes	c__Glomerales	o__Glomeraceae	f__Glomeraceae	g__Glomus_o__Glomeraceae	0.133942916	VT
s__VTX00051	p__Glomeromycetes	c__Archaeosporales	o__Archaeosporaceae	f__Archaeosporaceae	g__Archaeospora_o__Archaeosporaceae	0.005041874	VT
s__VTX00009	p__Glomeromycetes	c__Archaeosporales	o__Archaeosporaceae	f__Archaeosporaceae	g__Archaeospora_o__Archaeosporaceae	0.000227881	VT
s__VTX00008	p__Glomeromycetes	c__Archaeosporales	o__Archaeosporaceae	f__Archaeosporaceae	g__Archaeospora_o__Archaeosporaceae	0.007109896	VT
s__VTX00005	p__Glomeromycetes	c__Archaeosporales	o__Archaeosporaceae	f__Archaeosporaceae	g__Archaeospora_o__Archaeosporaceae	0.413074688	VT
s__VTX00004	p__Glomeromycetes	c__Archaeosporales	o__Archaeosporaceae	f__Archaeosporaceae	g__Archaeospora_o__Archaeosporaceae	0.000786191	VT
