node_id	degree	weight_degree	closeness_centrality	betweenness_centrality	eigenvector_centrality
s__VTX00444	0	0	NA	0	0
s__VTX00435	0	0	NA	0	0
s__VTX00382	1	1	1	0	0
s__VTX00350	2	1.67133864405168	0.598322789674621	1	1
s__VTX00348	1	1	1	0	0
s__VTX00331	1	1	1	0	0
s__VTX00308	1	0.845154254728517	0.397378431103352	0	0.7150864568724
s__VTX00281	1	0.885714285714286	1.12903225806452	0	0
s__VTX00242	1	1	1	0	0
s__VTX00238	1	0.885714285714286	1.12903225806452	0	0
s__VTX00146	0	0	NA	0	0
s__VTX00063	1	1	1	0	0
s__VTX00051	0	0	NA	0	0
s__VTX00009	1	1	1	0	0
s__VTX00008	0	0	NA	0	0
s__VTX00005	0	0	NA	0	0
s__VTX00004	1	0.826184389323165	0.40039670771273	0	0.699036021387795
