ID,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6,eCO2-1,eCO2-2,eCO2-3,eCO2-4,eCO2-5,eCO2-6
PhoD_ASV1,0.116113558,0.112771312,0.119534445,0.10101447,0.101604278,0.117057251,0.133847122,0.111984901,0.091302296,0.121539792,0.116467443,0.092442592
PhoD_ASV2,0.056267694,0.037433155,0.047341931,0.036568103,0.069204152,0.040146272,0.025204467,0.038927336,0.068771626,0.037747719,0.031102548,0.029411765
PhoD_ASV3,0.045218622,0.044235609,0.053947782,0.041837056,0.044786096,0.0493866,0.054852155,0.035860333,0.038455489,0,0.043724442,0.03853413
PhoD_ASV5,0.036804026,0.040854042,0.037983643,0.031141869,0.038337528,0.039123938,0.038966656,0.033186537,0.032124882,0.042938031,0.039084618,0.028586033
PhoD_ASV8,0.022845234,0.033383139,0.027170494,0.032439446,0.025597672,0.026777288,0.026423404,0.027917584,0.024496697,0.023749607,0.022805914,0.035034602
PhoD_ASV9,0.020879207,0.02178358,0.019188424,0.018559295,0.017654923,0.02036804,0.013408304,0.021154451,0.019974835,0.017065115,0.020800566,0.01529569
PhoD_ASV19,0.009790815,0.019699591,0.009554891,0.00507235,0.00652721,0.010695187,0.028821957,0.017654923,0.025007864,0.021115131,0.020721925,0.03633218
PhoD_ASV13,0.015924819,0.01093111,0.017851526,0.010813149,0.013644228,0.010655867,0.013447625,0.012818496,0.01089179,0.01380151,0.013880151,0.011796162
PhoD_ASV11,0.01962095,0.010695187,0.011756842,0.013211702,0.01234665,0.014116074,0.008650519,0.011481598,0.013604907,0.011992765,0.011127713,0.014351997
PhoD_ASV20,0.009083045,0.007746147,0.008296634,0.011442277,0.0072743,0.007352941,0.020918528,0.019188424,0.014155395,0.024260774,0.018441334,0.009790815
PhoD_ASV30,0.00656653,0.009240327,0.009672853,0.005544196,0.007077697,0.010380623,0.01671123,0.020014155,0.013683548,0.01675055,0.014391318,0.018205411
PhoD_ASV16,0.010459264,0.010105379,0.012739855,0.008217993,0.010026738,0.01234665,0.011560239,0.009948097,0.010537905,0.010419943,0.009987417,0.008847122
PhoD_ASV51,0.004089336,0.004482542,0.006999056,0.005504876,0.007903429,0.003184964,0.012936458,0.018795219,0.02036804,0.016475307,0.0145486,0.012464612
PhoD_ASV15,0.011402957,0.009161686,0.007628185,0.013447625,0.009279648,0.009083045,0.008965083,0.008453916,0.00868984,0.005740799,0.006684492,0.013919472
PhoD_ASV17,0.010655867,0.008532557,0.008335955,0.010577226,0.009869456,0.009279648,0.00798207,0.008493237,0.009318968,0.0101447,0.011481598,0.005937402
PhoD_ASV18,0.009161686,0.011245675,0.010105379,0.008493237,0.009790815,0,0.010616546,0.010380623,0.010577226,0.009240327,0.008375275,0.009279648
PhoD_ASV41,0.005150991,0.00436458,0.003302925,0.004285939,0.002241271,0.00436458,0.012936458,0.014941806,0.012425291,0.011717521,0.013998113,0.01018402
PhoD_ASV24,0.00868984,0.005347594,0.006134004,0.007903429,0.00436458,0.00578012,0.008650519,0.011560239,0.008965083,0.011167034,0.007038377,0.006959736
PhoD_ASV25,0.007431582,0.005465555,0.00802139,0.005347594,0.004010695,0.008139352,0.00581944,0.007785467,0.011127713,0.006920415,0.0072743,0.006723813
PhoD_ASV23,0.008768481,0.004679144,0.005898081,0.006723813,0.003932054,0.007195659,0.005858761,0.003027682,0.005583517,0.007510223,0.00581944,0.007431582
PhoD_ASV26,0.007352941,0.006212645,0.004993709,0.006330607,0.005622837,0.005347594,0.005740799,0.004010695,0.005898081,0.007352941,0.008650519,0.00511167
PhoD_ASV28,0.00652721,0.006251966,0.00581944,0.005740799,0.004639824,0.004797106,0.007628185,0.005898081,0.005701478,0.006251966,0.007942749,0.004757785
PhoD_ASV42,0.005308273,0.005622837,0.005190311,0.006920415,0.004128657,0.005308273,0.007038377,0.005583517,0.009712174,0.007431582,0.004797106,0.004718465
PhoD_ASV44,0.004010695,0.006802454,0.006448569,0.004797106,0.006409248,0.006684492,0.005583517,0.005033029,0.004050016,0.003538849,0.00578012,0.002988361
PhoD_ASV35,0.005504876,0.004797106,0.004403901,0.007549544,0.00507235,0.00511167,0.005308273,0.004482542,0.003814092,0.003381567,0.00436458,0.005268953
PhoD_ASV54,0.00365681,0.006134004,0.00511167,0.004836427,0.00656653,0.006212645,0.004600503,0,0.006134004,0.006723813,0.005740799,0.003499528
PhoD_ASV179,0.001376219,0.002398553,0.001926707,0.002477194,0.001572822,0.001533501,0.005426235,0.009201007,0.008375275,0.0101447,0.01093111,0.004993709
PhoD_ASV78,0.002673797,0.003067002,0.002555835,0.002123309,0.001769424,0.002241271,0.007352941,0.005740799,0.008768481,0.006055363,0.006330607,0.009790815
PhoD_ASV45,0.004443221,0.005701478,0.00507235,0.004836427,0.00436458,0.00507235,0.003892734,0.005386914,0.004875747,0.005544196,0.002870399,0.006134004
PhoD_ASV87,0.002241271,0.00220195,0.003774772,0.003460208,0.002713117,0.002988361,0.004285939,0.004797106,0.003184964,0.013211702,0.003814092,0.009751494
PhoD_ASV29,0.006763133,0.004521862,0.003853413,0.003145643,0.004285939,0.006605851,0.003420887,0.004285939,0.003774772,0.004246618,0.004285939,0.001887386
PhoD_ASV56,0.003892734,0.00511167,0.003971375,0.00511167,0.006684492,0.004954388,0.002831079,0.004561183,0.004246618,0.004993709,0.004993709,0.003932054
