source	target	weight	correlation
ASV364	ASV270	1	1
ASV364	ASV303	1	1
ASV364	ASV242	1	1
ASV364	ASV245	1	1
ASV364	ASV411	1	1
ASV364	ASV268	1	1
ASV364	ASV250	1	1
ASV364	ASV325	1	1
ASV364	ASV461	1	1
ASV364	ASV251	1	1
ASV364	ASV271	1	1
ASV364	ASV286	1	1
ASV364	ASV296	1	1
ASV364	ASV39	1	1
ASV364	ASV392	1	1
ASV364	ASV231	1	1
ASV364	ASV15	1	1
ASV364	ASV324	1	1
ASV364	ASV432	1	1
ASV364	ASV238	1	1
ASV364	ASV334	1	1
ASV364	ASV236	1	1
ASV364	ASV212	1	1
ASV364	ASV185	1	1
ASV364	ASV292	1	1
ASV364	ASV2	1	1
ASV901	ASV1016	0.979795897113271	0.979795897113271
ASV901	ASV962	1	1
ASV901	ASV1001	1	1
ASV28	ASV66	0.985610760609162	0.985610760609162
ASV613	ASV348	0.970588235294118	-0.970588235294118
ASV953	ASV968	1	1
ASV953	ASV940	1	1
ASV953	ASV890	1	1
ASV953	ASV911	1	1
ASV893	ASV928	1	1
ASV893	ASV1037	1	1
ASV893	ASV922	1	1
ASV893	ASV861	1	1
ASV893	ASV947	1	1
ASV893	ASV920	1	1
ASV893	ASV973	1	1
ASV893	ASV897	1	1
ASV893	ASV854	1	1
ASV893	ASV951	1	1
ASV893	ASV946	1	1
ASV893	ASV1009	1	1
ASV893	ASV898	1	1
ASV893	ASV900	1	1
ASV893	ASV975	1	1
ASV893	ASV964	1	1
ASV893	ASV868	1	1
ASV893	ASV866	1	1
ASV893	ASV981	1	1
ASV893	ASV841	1	1
ASV893	ASV994	1	1
ASV893	ASV873	1	1
ASV893	ASV959	1	1
ASV893	ASV1038	1	1
ASV893	ASV864	1	1
ASV893	ASV966	1	1
ASV893	ASV1000	1	1
ASV893	ASV1052	1	1
ASV893	ASV914	1	1
ASV893	ASV1060	1	1
ASV893	ASV906	1	1
ASV893	ASV960	1	1
ASV893	ASV997	1	1
ASV893	ASV895	1	1
ASV893	ASV1075	1	1
ASV893	ASV998	1	1
ASV893	ASV1073	1	1
ASV893	ASV993	1	1
ASV893	ASV919	1	1
ASV893	ASV977	1	1
ASV893	ASV943	1	1
ASV893	ASV859	1	1
ASV893	ASV991	1	1
ASV893	ASV976	1	1
ASV893	ASV741	1	1
ASV893	ASV1044	1	1
ASV893	ASV839	1	1
ASV87	ASV184	0.985610760609162	0.985610760609162
ASV148	ASV474	0.971008312455224	0.971008312455224
ASV4616	ASV2934	1	1
ASV4616	ASV4622	1	1
ASV4616	ASV4591	1	1
ASV4616	ASV4590	1	1
ASV4616	ASV4600	1	1
ASV4616	ASV2630	1	1
ASV4616	ASV4609	1	1
ASV4616	ASV1365	1	1
ASV4616	ASV4602	1	1
ASV4616	ASV4613	1	1
ASV4616	ASV2939	1	1
ASV4616	ASV2565	1	1
ASV4616	ASV1646	1	1
ASV4616	ASV4637	1	1
ASV4616	ASV4606	1	1
ASV4616	ASV2579	1	1
ASV4616	ASV4612	1	1
ASV4616	ASV4598	1	1
ASV4616	ASV1389	1	1
ASV4616	ASV4621	1	1
ASV4616	ASV4614	1	1
ASV4616	ASV4605	1	1
ASV4616	ASV4307	1	1
ASV4616	ASV4623	1	1
ASV4616	ASV4601	1	1
ASV4616	ASV4649	1	1
ASV4616	ASV1421	1	1
ASV4616	ASV2550	1	1
ASV4616	ASV4666	1	1
ASV4616	ASV3689	1	1
ASV4616	ASV4597	1	1
ASV4616	ASV4656	1	1
ASV4616	ASV2608	1	1
ASV4616	ASV4594	1	1
ASV4616	ASV2930	1	1
ASV4616	ASV2646	1	1
ASV4616	ASV1572	1	1
ASV4616	ASV4625	1	1
ASV4616	ASV2617	1	1
ASV1130	ASV925	1	1
ASV1130	ASV1089	1	1
ASV1130	ASV932	1	1
ASV1130	ASV1029	1	1
ASV1130	ASV834	1	1
ASV1130	ASV1081	1	1
ASV1130	ASV842	1	1
ASV1130	ASV970	1	1
ASV1455	ASV1424	1	1
ASV1455	ASV1853	1	1
ASV1455	ASV1846	1	1
ASV1455	ASV1859	1	1
ASV1455	ASV1880	1	1
ASV1455	ASV1878	1	1
ASV1455	ASV1414	1	1
ASV1455	ASV1844	1	1
ASV1455	ASV1901	1	1
ASV1455	ASV1828	1	1
ASV1455	ASV1817	1	1
ASV1455	ASV1832	1	1
ASV1455	ASV1437	1	1
ASV1455	ASV1845	1	1
ASV1455	ASV1891	1	1
ASV1455	ASV1489	1	1
ASV1455	ASV1819	1	1
ASV1455	ASV1841	1	1
ASV1455	ASV1830	1	1
ASV1455	ASV1452	1	1
ASV1455	ASV1838	1	1
ASV1455	ASV1928	1	1
ASV1455	ASV1842	1	1
ASV1455	ASV1881	1	1
ASV1455	ASV1883	1	1
ASV1455	ASV1851	1	1
ASV1455	ASV1834	1	1
ASV1455	ASV1402	1	1
ASV1455	ASV1410	1	1
ASV1455	ASV1416	1	1
ASV1455	ASV1863	1	1
ASV1455	ASV1855	1	1
ASV621	ASV198	0.979795897113271	0.979795897113271
ASV621	ASV215	1	1
ASV1936	ASV2046	1	1
ASV1936	ASV1919	1	1
ASV1936	ASV2070	1	1
ASV1936	ASV1975	1	1
ASV1936	ASV1398	1	1
ASV1936	ASV1823	1	1
ASV1936	ASV1404	1	1
ASV1936	ASV1827	1	1
ASV1936	ASV1395	1	1
ASV1936	ASV1856	1	1
ASV2332	ASV2260	1	1
ASV2332	ASV2359	1	1
ASV2332	ASV2328	1	1
ASV2332	ASV2310	1	1
ASV2332	ASV2305	1	1
ASV2332	ASV2349	1	1
ASV2332	ASV2330	1	1
ASV2332	ASV2354	1	1
ASV2332	ASV2345	1	1
ASV2332	ASV2371	1	1
ASV2332	ASV2275	1	1
ASV2332	ASV2285	1	1
ASV2332	ASV2346	1	1
ASV2332	ASV2314	1	1
ASV2332	ASV2357	1	1
ASV2332	ASV2336	1	1
ASV2332	ASV2261	1	1
ASV2332	ASV2361	1	1
ASV2332	ASV2320	1	1
ASV2332	ASV2299	1	1
ASV2332	ASV2293	1	1
ASV2332	ASV2306	1	1
ASV2332	ASV2308	1	1
ASV2332	ASV2257	1	1
ASV2332	ASV2269	1	1
ASV2332	ASV2321	1	1
ASV2332	ASV2273	1	1
ASV2332	ASV2304	1	1
ASV2332	ASV2312	1	1
ASV2332	ASV2309	1	1
ASV2332	ASV2348	1	1
ASV2332	ASV2284	1	1
ASV2332	ASV2351	1	1
ASV2332	ASV1711	1	1
ASV2332	ASV2259	1	1
ASV2332	ASV2301	1	1
ASV2332	ASV2283	1	1
ASV2332	ASV2347	1	1
ASV2332	ASV2343	1	1
ASV2332	ASV2282	1	1
ASV2332	ASV2352	1	1
ASV2332	ASV2297	1	1
ASV2332	ASV2368	1	1
ASV2332	ASV2294	1	1
ASV2332	ASV2350	1	1
ASV2332	ASV2278	1	1
ASV373	ASV277	0.985610760609162	0.985610760609162
ASV1041	ASV1141	1	1
ASV1041	ASV916	1	1
ASV2260	ASV2359	1	1
ASV2260	ASV2328	1	1
ASV2260	ASV2310	1	1
ASV2260	ASV2305	1	1
ASV2260	ASV2349	1	1
ASV2260	ASV2330	1	1
ASV2260	ASV2354	1	1
ASV2260	ASV2345	1	1
ASV2260	ASV2371	1	1
ASV2260	ASV2275	1	1
ASV2260	ASV2285	1	1
ASV2260	ASV2346	1	1
ASV2260	ASV2314	1	1
ASV2260	ASV2357	1	1
ASV2260	ASV2336	1	1
ASV2260	ASV2261	1	1
ASV2260	ASV2361	1	1
ASV2260	ASV2320	1	1
ASV2260	ASV2299	1	1
ASV2260	ASV2293	1	1
ASV2260	ASV2306	1	1
ASV2260	ASV2308	1	1
ASV2260	ASV2257	1	1
ASV2260	ASV2269	1	1
ASV2260	ASV2321	1	1
ASV2260	ASV2273	1	1
ASV2260	ASV2304	1	1
ASV2260	ASV2312	1	1
ASV2260	ASV2309	1	1
ASV2260	ASV2348	1	1
ASV2260	ASV2284	1	1
ASV2260	ASV2351	1	1
ASV2260	ASV1711	1	1
ASV2260	ASV2259	1	1
ASV2260	ASV2301	1	1
ASV2260	ASV2283	1	1
ASV2260	ASV2347	1	1
ASV2260	ASV2343	1	1
ASV2260	ASV2282	1	1
ASV2260	ASV2352	1	1
ASV2260	ASV2297	1	1
ASV2260	ASV2368	1	1
ASV2260	ASV2294	1	1
ASV2260	ASV2350	1	1
ASV2260	ASV2278	1	1
ASV163	ASV260	1	1
ASV2359	ASV2328	1	1
ASV2359	ASV2310	1	1
ASV2359	ASV2305	1	1
ASV2359	ASV2349	1	1
ASV2359	ASV2330	1	1
ASV2359	ASV2354	1	1
ASV2359	ASV2345	1	1
ASV2359	ASV2371	1	1
ASV2359	ASV2275	1	1
ASV2359	ASV2285	1	1
ASV2359	ASV2346	1	1
ASV2359	ASV2314	1	1
ASV2359	ASV2357	1	1
ASV2359	ASV2336	1	1
ASV2359	ASV2261	1	1
ASV2359	ASV2361	1	1
ASV2359	ASV2320	1	1
ASV2359	ASV2299	1	1
ASV2359	ASV2293	1	1
ASV2359	ASV2306	1	1
ASV2359	ASV2308	1	1
ASV2359	ASV2257	1	1
ASV2359	ASV2269	1	1
ASV2359	ASV2321	1	1
ASV2359	ASV2273	1	1
ASV2359	ASV2304	1	1
ASV2359	ASV2312	1	1
ASV2359	ASV2309	1	1
ASV2359	ASV2348	1	1
ASV2359	ASV2284	1	1
ASV2359	ASV2351	1	1
ASV2359	ASV1711	1	1
ASV2359	ASV2259	1	1
ASV2359	ASV2301	1	1
ASV2359	ASV2283	1	1
ASV2359	ASV2347	1	1
ASV2359	ASV2343	1	1
ASV2359	ASV2282	1	1
ASV2359	ASV2352	1	1
ASV2359	ASV2297	1	1
ASV2359	ASV2368	1	1
ASV2359	ASV2294	1	1
ASV2359	ASV2350	1	1
ASV2359	ASV2278	1	1
ASV95	ASV314	1	1
ASV1007	ASV1077	0.983738753675929	0.983738753675929
ASV1007	ASV1136	0.983738753675929	0.983738753675929
ASV928	ASV1037	1	1
ASV928	ASV922	1	1
ASV928	ASV861	1	1
ASV928	ASV947	1	1
ASV928	ASV920	1	1
ASV928	ASV973	1	1
ASV928	ASV897	1	1
ASV928	ASV854	1	1
ASV928	ASV951	1	1
ASV928	ASV946	1	1
ASV928	ASV1009	1	1
ASV928	ASV898	1	1
ASV928	ASV900	1	1
ASV928	ASV975	1	1
ASV928	ASV964	1	1
ASV928	ASV868	1	1
ASV928	ASV866	1	1
ASV928	ASV981	1	1
ASV928	ASV841	1	1
ASV928	ASV994	1	1
ASV928	ASV873	1	1
ASV928	ASV959	1	1
ASV928	ASV1038	1	1
ASV928	ASV864	1	1
ASV928	ASV966	1	1
ASV928	ASV1000	1	1
ASV928	ASV1052	1	1
ASV928	ASV914	1	1
ASV928	ASV1060	1	1
ASV928	ASV906	1	1
ASV928	ASV960	1	1
ASV928	ASV997	1	1
ASV928	ASV895	1	1
ASV928	ASV1075	1	1
ASV928	ASV998	1	1
ASV928	ASV1073	1	1
ASV928	ASV993	1	1
ASV928	ASV919	1	1
ASV928	ASV977	1	1
ASV928	ASV943	1	1
ASV928	ASV859	1	1
ASV928	ASV991	1	1
ASV928	ASV976	1	1
ASV928	ASV741	1	1
ASV928	ASV1044	1	1
ASV928	ASV839	1	1
ASV1016	ASV962	0.979795897113271	0.979795897113271
ASV1016	ASV1001	0.979795897113271	0.979795897113271
ASV1016	ASV1065	0.979795897113271	0.979795897113271
ASV1016	ASV880	0.979795897113271	0.979795897113271
ASV1016	ASV1133	0.979795897113271	0.979795897113271
ASV2328	ASV2310	1	1
ASV2328	ASV2305	1	1
ASV2328	ASV2349	1	1
ASV2328	ASV2330	1	1
ASV2328	ASV2354	1	1
ASV2328	ASV2345	1	1
ASV2328	ASV2371	1	1
ASV2328	ASV2275	1	1
ASV2328	ASV2285	1	1
ASV2328	ASV2346	1	1
ASV2328	ASV2314	1	1
ASV2328	ASV2357	1	1
ASV2328	ASV2336	1	1
ASV2328	ASV2261	1	1
ASV2328	ASV2361	1	1
ASV2328	ASV2320	1	1
ASV2328	ASV2299	1	1
ASV2328	ASV2293	1	1
ASV2328	ASV2306	1	1
ASV2328	ASV2308	1	1
ASV2328	ASV2257	1	1
ASV2328	ASV2269	1	1
ASV2328	ASV2321	1	1
ASV2328	ASV2273	1	1
ASV2328	ASV2304	1	1
ASV2328	ASV2312	1	1
ASV2328	ASV2309	1	1
ASV2328	ASV2348	1	1
ASV2328	ASV2284	1	1
ASV2328	ASV2351	1	1
ASV2328	ASV1711	1	1
ASV2328	ASV2259	1	1
ASV2328	ASV2301	1	1
ASV2328	ASV2283	1	1
ASV2328	ASV2347	1	1
ASV2328	ASV2343	1	1
ASV2328	ASV2282	1	1
ASV2328	ASV2352	1	1
ASV2328	ASV2297	1	1
ASV2328	ASV2368	1	1
ASV2328	ASV2294	1	1
ASV2328	ASV2350	1	1
ASV2328	ASV2278	1	1
ASV2046	ASV1919	1	1
ASV2046	ASV2070	1	1
ASV2046	ASV1975	1	1
ASV2046	ASV1398	1	1
ASV2046	ASV1823	1	1
ASV2046	ASV1404	1	1
ASV2046	ASV1827	1	1
ASV2046	ASV1395	1	1
ASV2046	ASV1856	1	1
ASV3263	ASV3265	1	1
ASV3263	ASV3278	1	1
ASV3263	ASV3269	1	1
ASV3263	ASV3258	1	1
ASV3263	ASV3266	1	1
ASV3263	ASV3282	1	1
ASV3263	ASV3268	1	1
ASV3263	ASV3283	1	1
ASV3263	ASV3274	1	1
ASV3263	ASV2910	1	1
ASV3263	ASV3298	1	1
ASV3263	ASV3257	1	1
ASV3263	ASV1369	1	1
ASV3263	ASV1387	1	1
ASV3263	ASV2567	1	1
ASV3263	ASV3260	1	1
ASV860	ASV1035	1	1
ASV860	ASV1008	1	1
ASV860	ASV1201	1	1
ASV860	ASV844	1	1
ASV860	ASV850	1	1
ASV175	ASV509	0.970588235294118	-0.970588235294118
ASV2310	ASV2305	1	1
ASV2310	ASV2349	1	1
ASV2310	ASV2330	1	1
ASV2310	ASV2354	1	1
ASV2310	ASV2345	1	1
ASV2310	ASV2371	1	1
ASV2310	ASV2275	1	1
ASV2310	ASV2285	1	1
ASV2310	ASV2346	1	1
ASV2310	ASV2314	1	1
ASV2310	ASV2357	1	1
ASV2310	ASV2336	1	1
ASV2310	ASV2261	1	1
ASV2310	ASV2361	1	1
ASV2310	ASV2320	1	1
ASV2310	ASV2299	1	1
ASV2310	ASV2293	1	1
ASV2310	ASV2306	1	1
ASV2310	ASV2308	1	1
ASV2310	ASV2257	1	1
ASV2310	ASV2269	1	1
ASV2310	ASV2321	1	1
ASV2310	ASV2273	1	1
ASV2310	ASV2304	1	1
ASV2310	ASV2312	1	1
ASV2310	ASV2309	1	1
ASV2310	ASV2348	1	1
ASV2310	ASV2284	1	1
ASV2310	ASV2351	1	1
ASV2310	ASV1711	1	1
ASV2310	ASV2259	1	1
ASV2310	ASV2301	1	1
ASV2310	ASV2283	1	1
ASV2310	ASV2347	1	1
ASV2310	ASV2343	1	1
ASV2310	ASV2282	1	1
ASV2310	ASV2352	1	1
ASV2310	ASV2297	1	1
ASV2310	ASV2368	1	1
ASV2310	ASV2294	1	1
ASV2310	ASV2350	1	1
ASV2310	ASV2278	1	1
ASV270	ASV303	1	1
ASV270	ASV242	1	1
ASV270	ASV245	1	1
ASV270	ASV411	1	1
ASV270	ASV268	1	1
ASV270	ASV250	1	1
ASV270	ASV325	1	1
ASV270	ASV461	1	1
ASV270	ASV251	1	1
ASV270	ASV271	1	1
ASV270	ASV286	1	1
ASV270	ASV296	1	1
ASV270	ASV39	1	1
ASV270	ASV392	1	1
ASV270	ASV231	1	1
ASV270	ASV15	1	1
ASV270	ASV324	1	1
ASV270	ASV432	1	1
ASV270	ASV238	1	1
ASV270	ASV334	1	1
ASV270	ASV236	1	1
ASV270	ASV212	1	1
ASV270	ASV185	1	1
ASV270	ASV292	1	1
ASV270	ASV2	1	1
ASV2934	ASV4622	1	1
ASV2934	ASV4591	1	1
ASV2934	ASV4590	1	1
ASV2934	ASV4600	1	1
ASV2934	ASV2630	1	1
ASV2934	ASV4609	1	1
ASV2934	ASV1365	1	1
ASV2934	ASV4602	1	1
ASV2934	ASV4613	1	1
ASV2934	ASV2939	1	1
ASV2934	ASV2565	1	1
ASV2934	ASV1646	1	1
ASV2934	ASV4637	1	1
ASV2934	ASV4606	1	1
ASV2934	ASV2579	1	1
ASV2934	ASV4612	1	1
ASV2934	ASV4598	1	1
ASV2934	ASV1389	1	1
ASV2934	ASV4621	1	1
ASV2934	ASV4614	1	1
ASV2934	ASV4605	1	1
ASV2934	ASV4307	1	1
ASV2934	ASV4623	1	1
ASV2934	ASV4601	1	1
ASV2934	ASV4649	1	1
ASV2934	ASV1421	1	1
ASV2934	ASV2550	1	1
ASV2934	ASV4666	1	1
ASV2934	ASV3689	1	1
ASV2934	ASV4597	1	1
ASV2934	ASV4656	1	1
ASV2934	ASV2608	1	1
ASV2934	ASV4594	1	1
ASV2934	ASV2930	1	1
ASV2934	ASV2646	1	1
ASV2934	ASV1572	1	1
ASV2934	ASV4625	1	1
ASV2934	ASV2617	1	1
ASV1820	ASV1884	1	1
ASV1820	ASV1710	1	1
ASV1820	ASV1825	1	1
ASV1820	ASV1930	1	1
ASV1820	ASV1530	1	1
ASV1820	ASV1392	1	1
ASV1820	ASV1367	1	1
ASV166	ASV936	0.970588235294118	-0.970588235294118
ASV1424	ASV1853	1	1
