node_id	degree	weight_degree	closeness_centrality	betweenness_centrality	eigenvector_centrality
ASV364	26	26	0.0384615384615385	0	0
ASV901	3	2.97979589711327	0.112885020441285	0	0
ASV28	1	0.985610760609162	0.338199770797262	0	0
ASV613	1	0.970588235294118	1.03030303030303	0	0
ASV953	4	4	0.25	0	0
ASV893	47	47	0.0212765957446809	0	0.999999999999999
ASV87	1	0.985610760609162	1.01459931239178	0	0
ASV148	1	0.971008312455224	1.02985730108887	0	0
ASV4616	39	39	0.0256410256410256	0	0
ASV1130	8	8	0.125	0	0
ASV1455	32	32	0.03125	0	2.88444402957534e-16
ASV621	2	1.97979589711327	0.505102572168219	0	0
ASV1936	10	10	0.1	0	0
ASV2332	46	46	0.0217391304347826	0	1.24992574614932e-14
ASV373	1	0.985610760609162	1.01459931239178	0	0
ASV1041	2	2	0.5	0	0
ASV2260	46	46	0.0217391304347826	0	1.23069611928548e-14
ASV163	1	1	1	0	0
ASV2359	46	46	0.0217391304347826	0	1.26915537301315e-14
ASV95	1	1	1	0	0
ASV1007	2	1.96747750735186	0.508265022732564	0	0
ASV928	47	47	0.0212765957446809	0	0.999999999999999
ASV1016	6	5.87877538267963	0.170103454359943	9	0
ASV2328	46	46	0.0217391304347826	0	1.25954055958123e-14
ASV2046	10	10	0.1	0	0
ASV3263	16	16	0.0625	0	0
ASV860	5	5	0.2	0	0
ASV175	1	0.970588235294118	1.03030303030303	0	0
ASV2310	46	46	0.0217391304347826	0	1.22108130585356e-14
ASV270	26	26	0.0384615384615385	0	0
ASV2934	39	39	0.0256410256410256	0	0
ASV1820	7	7	0.142857142857143	0	0
ASV166	1	0.970588235294118	1.03030303030303	0	0
ASV1424	32	32	0.03125	0	3.84592537276713e-16
ASV2305	46	46	0.0217391304347826	0	1.2403109327174e-14
ASV321	1	1	1	0	0
ASV120	1	0.985610760609162	1.01459931239178	0	0
ASV2349	46	46	0.0217391304347826	0	1.24992574614932e-14
ASV445	2	1.98561076060916	0.50362337867932	0	0
ASV879	1	0.983738753675929	1.01653004546513	0	0
ASV4622	39	39	0.0256410256410256	0	0
ASV1037	47	47	0.0212765957446809	0	1
ASV4591	39	39	0.0256410256410256	0	0
ASV61	2	1.97122152121832	0.169530545081429	3	0
ASV706	1	0.983738753675929	0.338843348488376	0	0
ASV3265	16	16	0.0625	0	0
ASV66	2	1.97122152121832	0.507299656195892	1	0
ASV4590	39	39	0.0256410256410256	0	0
ASV228	2	1.97122152121832	0.253649828097946	0	0
ASV2330	46	46	0.0217391304347826	0	1.24992574614932e-14
ASV303	26	26	0.0384615384615385	0	0
ASV124	3	2.94180975651244	0.339926807906679	2	0
ASV1077	2	1.98373875367593	0.504098636046188	0	0
ASV2354	46	46	0.0217391304347826	0	1.24992574614932e-14
ASV547	1	0.983738753675929	1.01653004546513	0	0
ASV968	4	4	0.25	0	0
ASV492	1	1	1	0	0
ASV1853	32	32	0.03125	0	2.40370335797945e-16
ASV2345	46	46	0.0217391304347826	0	1.2403109327174e-14
ASV922	47	47	0.0212765957446809	0	0.999999999999999
ASV2341	3	2.93938769133981	0.340206908719886	2	0
ASV1982	1	1	1	0	0
ASV147	1	1	1	0	0
ASV1919	10	10	0.1	0	0
ASV925	8	8	0.125	0	0
ASV2267	6	5.97979589711327	0.167229787973658	0	0
ASV2371	46	46	0.0217391304347826	0	1.24992574614932e-14
ASV1136	2	1.98373875367593	0.504098636046188	0	0
ASV2275	46	46	0.0217391304347826	0	1.25954055958123e-14
ASV207	1	0.971008312455224	1.02985730108887	0	0
ASV861	47	47	0.0212765957446809	0	0.999999999999999
ASV1507	1	1	1	0	0
ASV234	4	4	0.25	0	0
ASV69	1	1	1	0	0
ASV838	1	0.983738753675929	0.338843348488376	0	0
ASV2070	10	10	0.1	0	0
ASV2285	46	46	0.0217391304347826	0	1.26915537301315e-14
ASV242	26	26	0.0384615384615385	0	4.80740671595891e-17
ASV245	26	26	0.0384615384615385	0	4.80740671595891e-17
ASV411	26	26	0.0384615384615385	0	0
ASV2262	6	5.97979589711327	0.167229787973658	0	0
ASV1089	8	8	0.125	0	0
ASV4600	39	39	0.0256410256410256	0	0
ASV837	1	0.985184366143778	1.0150384378451	0	0
ASV2346	46	46	0.0217391304347826	0	1.24992574614932e-14
ASV117	1	0.983738753675929	1.01653004546513	0	0
ASV1846	32	32	0.03125	0	2.40370335797945e-16
ASV1859	32	32	0.03125	0	4.80740671595891e-17
ASV240	4	4	0.25	0	0
ASV83	1	0.970588235294118	1.03030303030303	0	0
ASV962	3	2.97979589711327	0.112885020441285	0	0
ASV2314	46	46	0.0217391304347826	0	1.23069611928548e-14
ASV654	5	5	0.2	0	0
ASV345	1	0.985610760609162	1.01459931239178	0	0
ASV2630	39	39	0.0256410256410256	0	0
ASV341	1	1	1	0	0
ASV319	1	0.985610760609162	1.01459931239178	0	0
ASV301	1	1	1	0	0
ASV29	1	1	1	0	0
ASV1035	5	5	0.2	0	0
ASV198	2	1.95959179422654	0.510310363079829	0	0
ASV430	3	2.91302493736567	0.205353820085852	3	0
ASV2357	46	46	0.0217391304347826	0	1.24992574614932e-14
ASV1975	10	10	0.1	0	0
ASV947	47	47	0.0212765957446809	0	0.999999999999999
ASV211	1	1	1	0	0
