"","LYL1","LYL2","LYL3","LYL4","LYL5","LYL6"
"ASV364",0,0,0.001145968,0,0,0
"ASV22",0,0,0.014181349,0.004010887,0.009883971,0
"ASV901",0,0.001145968,0,0.001862197,0,0
"ASV28",0.015613809,0.018908466,0.01346512,0.010313709,0.011602922,0.006589314
"ASV613",0,0.000859476,0.000286492,0,0.002148689,0.000429738
"ASV1601",0.001289214,0,0,0,0.000859476,0.001289214
"ASV953",0,0,0,0.001718951,0,0.000429738
"ASV893",0,0,0,0.002005443,0,0
"ASV87",0,0.001002722,0.005156854,0.002291935,0.001145968,0.000859476
"ASV148",0.002291935,0.002148689,0.002864919,0,0.00143246,0.001575705
"ASV130",0.002291935,0.002578427,0.003294657,0.002578427,0.002721673,0.001575705
"ASV4616",0,0.002005443,0,0,0,0
"ASV1130",0,0,0,0.00071623,0.000572984,0
"ASV1455",0,0,0,0,0.001718951,0
"ASV621",0.002435181,0,0.000286492,0,0,0
"ASV1936",0.000859476,0,0,0,0.000429738,0
"ASV1170",0.000859476,0.000572984,0,0.000572984,0,0
"ASV2332",0.001145968,0,0,0,0,0
"ASV373",0.000859476,0.003151411,0.000572984,0,0,0.000429738
"ASV1041",0.002578427,0,0,0.000572984,0,0
"ASV2260",0.008165019,0,0,0,0,0
"ASV1383",0.005156854,0.008451511,0,0,0,0.033376307
"ASV163",0,0,0.003151411,0.003008165,0,0
"ASV2359",0.001002722,0,0,0,0,0
"ASV125",0.002148689,0.001575705,0.003724395,0.004870362,0.002721673,0.002435181
"ASV95",0,0,0.004583871,0,0,0.001718951
"ASV146",0,0.002721673,0.003008165,0.002148689,0.001002722,0.001718951
"ASV1007",0,0,0,0.00071623,0.002291935,0.000572984
"ASV928",0,0,0,0.00143246,0,0
"ASV1016",0,0.00071623,0,0.00071623,0,0
"ASV2328",0.001289214,0,0,0,0,0
"ASV2046",0.001145968,0,0,0,0.000286492,0
"ASV3263",0,0,0,0,0,0.001862197
"ASV1456",0.00071623,0.001575705,0,0,0.001145968,0
"ASV860",0,0,0,0.005013608,0.0053001,0
"ASV175",0.006159576,0.003294657,0.002864919,0.002005443,0.001145968,0.001145968
"ASV2310",0.001718951,0,0,0,0,0
