"","LYL1","LYL2","LYL3","LYL4","LYL5","LYL6","Abundance","Type","phylum","class","order","family","genus","species"
"ASV364",0,0,0.001145968,0,0,0,0.000190995,"Pro","p__Cercozoa","c__Filosa-Thecofilosea","o__Cryomonadida","f__Rhogostoma-lineage","g__Rhogostoma-lineage_X","s__Rhogostoma-lineage_X_sp."
"ASV901",0,0.001145968,0,0.001862197,0,0,0.000501361,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Sandona","s__Sandona_sp."
"ASV28",0.015613809,0.018908466,0.01346512,0.010313709,0.011602922,0.006589314,0.01274889,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Neoheteromita","s__Neoheteromita_caudratti"
"ASV613",0,0.000859476,0.000286492,0,0.002148689,0.000429738,0.000620732,"Pro","p__Cercozoa","c__Filosa-Granofilosea","o__Cryptofilida","f__Mesofilidae","g__Mesofilidae_X","s__Mesofilidae_X_sp."
"ASV953",0,0,0,0.001718951,0,0.000429738,0.000358115,"Pro","p__Conosa","c__Variosea","o__ATCC50593-Flamella-WIM80-lineage","f__Flamella-lineage","g__Flamella","s__unclassified_g__Flamella"
"ASV893",0,0,0,0.002005443,0,0,0.000334241,"Pro","p__Apicomplexa","c__Apicomplexa_X","o__Gregarines","f__Gregarines_X","g__Gregarines_XX","s__Gregarines_XX_sp."
"ASV87",0,0.001002722,0.005156854,0.002291935,0.001145968,0.000859476,0.001742826,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Filamoebidae","g__Filamoeba","s__unclassified_g__Filamoeba"
"ASV148",0.002291935,0.002148689,0.002864919,0,0.00143246,0.001575705,0.001718951,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV4616",0,0.002005443,0,0,0,0,0.000334241,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV1130",0,0,0,0.00071623,0.000572984,0,0.000214869,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV1455",0,0,0,0,0.001718951,0,0.000286492,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Allapsidae","g__Group-Te","s__Group-Te_sp."
"ASV621",0.002435181,0,0.000286492,0,0,0,0.000453612,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV1936",0.000859476,0,0,0,0.000429738,0,0.000214869,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV2332",0.001145968,0,0,0,0,0,0.000190995,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Paracercomonadidae","g__Paracercomonas","s__Paracercomonas_vonderheydeni"
"ASV373",0.000859476,0.003151411,0.000572984,0,0,0.000429738,0.000835601,"Pro","p__Perkinsea","c__Perkinsida","o__Perkinsida_X","f__Perkinsida_XX","g__Perkinsida_XXX","s__Perkinsida_XXX_sp."
"ASV1041",0.002578427,0,0,0.000572984,0,0,0.000525235,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV2260",0.008165019,0,0,0,0,0,0.001360837,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Leptophryidae","g__Leptophryidae_X","s__Leptophryidae_X_sp."
"ASV163",0,0,0.003151411,0.003008165,0,0,0.001026596,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Sandona","s__Sandona_sp."
"ASV2359",0.001002722,0,0,0,0,0,0.00016712,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV95",0,0,0.004583871,0,0,0.001718951,0.00105047,"Pro","p__Lobosa","c__Lobosa-G1","o__Lobosa-G1_X","f__Lobosa-G1_XX","g__Lobosa-G1_XXX","s__Lobosa-G1_XXX_sp."
"ASV1007",0,0,0,0.00071623,0.002291935,0.000572984,0.000596858,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Allapsidae","g__Allapsidae_X","s__Allapsidae_X_sp."
"ASV928",0,0,0,0.00143246,0,0,0.000238743,"Pro","p__Ciliophora","c__Spirotrichea","o__Hypotrichia","f__unclassified_o__Hypotrichia","g__unclassified_o__Hypotrichia","s__unclassified_o__Hypotrichia"
"ASV1016",0,0.00071623,0,0.00071623,0,0,0.000238743,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__unclassified_o__Variosea_X","g__unclassified_o__Variosea_X","s__unclassified_o__Variosea_X"
"ASV2328",0.001289214,0,0,0,0,0,0.000214869,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Allapsidae","g__Allantion","s__Allantion_sp."
