label	phylum	class	order	family	genus	abundance	Type
ASV1046	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__Penardia-lineage	g__Penardia-lineage_X	0.000238743	Pro
ASV3648	p__Conosa	c__Variosea	o__Variosea_X	f__Variosea_XX	g__Variosea_XXX	0.000310366	Pro
ASV901	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Sandona	0.001241465	Pro
ASV28	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Neoheteromita	0.013274125	Pro
ASV2614	p__Conosa	c__Variosea	o__Variosea_X	f__Phalansteriidae	g__Phalansterium	0.000692355	Pro
ASV4281	p__Conosa	c__Variosea	o__Variosea_X	f__Variosea_XX	g__Variosea_XXX	0.00016712	Pro
ASV2687	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Paracercomonadidae	g__Paracercomonas	0.000190995	Pro
ASV1601	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__Thalassomyxa-lineage	g__Thalassomyxa-lineage_X	0.000429738	Pro
ASV87	p__Conosa	c__Variosea	o__Variosea_X	f__Filamoebidae	g__Filamoeba	0.002291935	Pro
ASV4001	p__Ciliophora	c__Litostomatea	o__Haptoria	f__unclassified_o__Haptoria	g__unclassified_o__Haptoria	0.000214869	Pro
ASV1130	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	0.000549109	Pro
ASV2927	p__Conosa	c__Variosea	o__Variosea_X	f__Variosea_XX	g__Variosea_XXX	0.000310366	Pro
ASV1455	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Allapsidae	g__Group-Te	0.000644607	Pro
ASV621	p__Conosa	c__Variosea	o__Variosea_X	f__Variosea_XX	g__Variosea_XXX	0.00088335	Pro
ASV4016	p__Cercozoa	c__Cercozoa_X	o__Cercozoa_XX	f__Cercozoa_XXX	g__Cercozoa_XXXX	0.000238743	Pro
ASV1041	p__unclassified_k__Opisthokonta	c__unclassified_k__Opisthokonta	o__unclassified_k__Opisthokonta	f__unclassified_k__Opisthokonta	g__unclassified_k__Opisthokonta	0.000596858	Pro
ASV1447	p__Cercozoa	c__Filosa-Sarcomonadea	o__Filosa-Sarcomonadea_X	f__Filosa-Sarcomonadea_XX	g__Filosa-Sarcomonadea_XXX	0.000310366	Pro
ASV1383	p__Lobosa	c__Tubulinea	o__Echinamoebida	f__Vermamoebidae	g__unclassified_f__Vermamoebidae	0.001265339	Pro
ASV125	p__Conosa	c__Variosea	o__Variosea_X	f__Acramoebidae	g__unclassified_f__Acramoebidae	0.002459056	Pro
ASV2999	p__Conosa	c__Variosea	o__Variosea_X	f__Variosea_XX	g__Variosea_XXX	0.00016712	Pro
ASV2591	p__Ciliophora	c__Colpodea	o__Colpodida	f__Colpodidae	g__Colpodidae_X	0.000453612	Pro
ASV146	p__Conosa	c__Variosea	o__Variosea_X	f__Filamoebidae	g__Filamoeba	0.001862197	Pro
ASV1007	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Allapsidae	g__Allapsidae_X	0.001026596	Pro
ASV2903	p__Apicomplexa	c__Apicomplexa_X	o__Gregarines	f__Gregarines_X	g__Stenophora	0.000978847	Pro
ASV3937	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Sandonidae_X	0.000859476	Pro
