node_id	degree	weight_degree	closeness_centrality	betweenness_centrality	eigenvector_centrality
ASV1046	2	1.97979589711327	0.10185204630041	0	0
ASV3648	46	46	0.0217391304347826	0	0
ASV901	2	1.94117647058824	0.515151515151515	1	0
ASV28	1	1	1	0	0
ASV2614	5	4.95959179422654	0.0677619217375368	0	0
ASV4281	39	39	0.0256410256410256	0	0
ASV2687	3	3	0.333333333333333	0	0
ASV1601	1	0.985610760609162	1.01459931239178	0	0
ASV87	2	1.95661907306439	0.170799199512179	3	0
ASV4001	55	55	0.0181818181818182	0	0.999999999999999
ASV1130	6	6	0.166666666666667	0	0
ASV2927	45	45	0.0222222222222222	0	0
ASV1455	1	1	1	0	0
ASV621	1	0.970588235294118	1.03030303030303	0	0
ASV4016	55	55	0.0181818181818182	0	0.999999999999999
ASV1041	55	55	0.0181818181818182	0	0.999999999999999
ASV1447	43	43	0.0232558139534884	0	5.19259272631902e-16
ASV1383	1	1	1	0	0
ASV125	1	0.985610760609162	1.01459931239178	0	0
ASV2999	45	45	0.0222222222222222	0	5.19259272631902e-17
ASV2591	6	5.95959179422654	0.0724744871391589	0	0
ASV146	1	0.985610760609162	1.01459931239178	0	0
ASV1007	1	0.970588235294118	1.03030303030303	0	0
ASV2903	45	45	0.0222222222222222	0	1.55777781789571e-16
ASV3937	7	7	0.142857142857143	0	0
ASV2555	35	35	0.0285714285714286	0	0
ASV1016	7	6.8585712797929	0.145802960879951	12	0
ASV2046	55	55	0.0181818181818182	0	0.999999999999999
ASV2596	35	35	0.0285714285714286	0	0
ASV1456	6	5.87877538267963	0.170103454359943	8	0
ASV860	35	35	0.0285714285714286	0	0
ASV1480	8	8	0.125	0	0
ASV2952	45	45	0.0222222222222222	0	5.19259272631902e-17
ASV175	2	1.98561076060916	0.50362337867932	0	0
ASV4017	7	7	0.142857142857143	0	0
ASV1440	43	43	0.0232558139534884	0	5.19259272631902e-16
ASV1441	43	43	0.0232558139534884	0	4.15407418105522e-16
ASV2620	35	35	0.0285714285714286	0	0
ASV2934	6	6	0.166666666666667	0	0
ASV4245	39	39	0.0256410256410256	0	0
ASV1820	35	35	0.0285714285714286	0	0
ASV483	6	6	0.166666666666667	0	0
ASV1466	7	7	0.142857142857143	0	0
ASV115	1	0.985610760609162	1.01459931239178	0	0
ASV166	7	7	0.142857142857143	0	0
ASV161	1	0.985184366143778	0.127561219406824	0	0
ASV1424	43	43	0.0232558139534884	0	4.15407418105522e-16
ASV2925	45	45	0.0222222222222222	0	1.0385185452638e-16
ASV559	35	35	0.0285714285714286	0	0
ASV1460	9	8.8585712797929	0.112885020441285	4	0
ASV222	7	7	0.142857142857143	0	0
ASV321	1	0.971008312455224	1.02985730108887	0	0
ASV120	2	1.94201662491045	0.257464325272219	2	0
ASV2643	35	35	0.0285714285714286	0	0
ASV1516	43	43	0.0232558139534884	0	3.63481490842332e-16
ASV566	43	43	0.0232558139534884	0	4.67333345368712e-16
ASV2946	45	45	0.0222222222222222	0	1.0385185452638e-16
ASV61	4	4	0.25	0	0
ASV2566	35	35	0.0285714285714286	0	0
ASV706	1	1	1	0	0
ASV1408	43	43	0.0232558139534884	0	5.71185199895093e-16
ASV3630	46	46	0.0217391304347826	0	0
ASV3955	55	55	0.0181818181818182	0	0.999999999999999
ASV393	39	39	0.0256410256410256	0	0
ASV3265	4	4	0.25	0	0
ASV1407	4	4	0.25	0	0
ASV3951	55	55	0.0181818181818182	0	0.999999999999999
ASV3627	46	46	0.0217391304347826	0	0
ASV1293	7	7	0.142857142857143	0	0
ASV1461	4	3.92720099105423	0.254634280821863	1	0
ASV2996	2	2	0.5	0	0
ASV2959	45	45	0.0222222222222222	0	2.59629636315951e-16
ASV2354	3	3	0.333333333333333	0	0
ASV1476	6	5.93938769133981	0.0846155188193636	0	0
ASV2345	39	39	0.0256410256410256	0	0
ASV3965	55	55	0.0181818181818182	0	1
ASV1411	43	43	0.0232558139534884	0	5.19259272631902e-16
ASV541	35	35	0.0285714285714286	0	0
ASV1967	2	1.96747750735186	0.508265022732564	0	0
ASV3967	55	55	0.0181818181818182	0	0.999999999999999
ASV2592	35	35	0.0285714285714286	0	0
ASV3933	55	55	0.0181818181818182	0	0.999999999999999
ASV4283	39	39	0.0256410256410256	0	0
ASV2341	6	5.95959179422654	0.0724744871391589	0	0
ASV1982	4	4	0.25	0	0
ASV1412	43	43	0.0232558139534884	0	3.63481490842332e-16
ASV475	7	7	0.142857142857143	0	0
ASV147	35	35	0.0285714285714286	0	0
ASV1919	55	55	0.0181818181818182	0	0.999999999999999
ASV925	43	43	0.0232558139534884	0	3.63481490842332e-16
ASV2552	35	35	0.0285714285714286	0	0
ASV3952	55	55	0.0181818181818182	0	0.999999999999999
ASV2922	45	45	0.0222222222222222	0	5.19259272631902e-17
ASV2938	4	3.97979589711327	0.12659863237109	0	0
ASV371	2	1.97122152121832	0.507299656195892	0	0
ASV207	5	4.88298622710068	0.146216247607456	0	0
ASV1507	43	43	0.0232558139534884	0	3.63481490842332e-16
ASV234	4	4	0.25	0	0
ASV69	1	0.971008312455224	0.128257006495529	0	0
ASV1870	46	46	0.0217391304347826	0	0
ASV3626	46	46	0.0217391304347826	0	0
ASV181	1	0.985610760609162	1.01459931239178	0	0
ASV2616	35	35	0.0285714285714286	0	0
ASV3669	46	46	0.0217391304347826	0	0
ASV987	8	8	0.125	0	0
ASV837	8	8	0.125	0	0
ASV3077	4	3.97979589711327	0.12659863237109	0	0
ASV239	2	1.95619899590328	0.511195436708752	1	0
ASV117	4	3.92720099105423	0.254634280821863	1	0
ASV1846	55	55	0.0181818181818182	0	0.999999999999999
ASV4238	39	39	0.0256410256410256	0	0
ASV3956	55	55	0.0181818181818182	0	0.999999999999999
ASV83	1	0.970588235294118	1.03030303030303	0	0
ASV3487	55	55	0.0181818181818182	0	0.999999999999999
ASV3645	46	46	0.0217391304347826	0	0
ASV918	55	55	0.0181818181818182	0	0.999999999999999
ASV2944	45	45	0.0222222222222222	0	5.19259272631902e-17
ASV2598	35	35	0.0285714285714286	0	0
ASV345	2	2	0.5	0	0
ASV2630	2	2	0.5	0	0
ASV341	3	2.96747750735186	0.33698654750458	0.5	0
ASV319	5	5	0.2	0	0
ASV264	55	55	0.0181818181818182	0	0.999999999999999
ASV8	1	1	1	0	0
ASV4023	55	55	0.0181818181818182	0	1
ASV4297	39	39	0.0256410256410256	0	0
ASV612	2	1.98373875367593	0.504098636046188	0	0
ASV430	5	5	0.2	0	0
ASV947	4	3.97979589711327	0.101434576230097	0	0
ASV1366	43	43	0.0232558139534884	0	4.15407418105522e-16
ASV2979	45	45	0.0222222222222222	0	2.07703709052761e-16
ASV2929	45	45	0.0222222222222222	0	3.11555563579141e-16
ASV2633	1	1	1	0	0
ASV1365	2	1.96747750735186	0.254132511366282	0	0
ASV1446	3	2.97979589711327	0.0924371349514566	0	0
ASV3619	46	46	0.0217391304347826	0	0
ASV2622	35	35	0.0285714285714286	0	0
ASV2584	35	35	0.0285714285714286	0	0
