	LYL7	LYL8	LYL9	LYL10	LYL11	LYL12
ASV723	0	0	0	0	0	0
ASV1532	0	0.00071623	0	0	0	0
ASV1349	0	0	0	0	0	0
ASV4334	0	0	0	0	0.000429738	0
ASV1046	0	0	0	0.000859476	0.000572984	0
ASV3519	0	0	0	0	0	0
ASV364	0	0	0	0	0	0
ASV22	0.038676407	0.021916631	0.010027217	0.025927518	0.006589314	0.008594757
ASV1531	0	0.00071623	0	0	0	0
ASV3648	0	0	0	0	0	0.001862197
ASV901	0.001575705	0.001862197	0.000859476	0.001862197	0.001289214	0
ASV28	0.011173184	0.01733276	0.016759777	0.009310987	0.016186793	0.008881249
ASV2832	0.000143246	0	0	0	0	0
ASV2614	0.001145968	0	0	0.003008165	0	0
ASV4281	0	0	0	0	0.001002722	0
ASV515	0	0	0	0	0	0
ASV613	0	0	0	0.000286492	0	0
ASV2687	0.00071623	0	0.000429738	0	0	0
ASV1601	0	0.000286492	0.001002722	0.00071623	0.000572984	0
ASV953	0	0	0.000429738	0.000286492	0.000429738	0.000143246
ASV2886	0.000286492	0	0	0	0	0
ASV1505	0	0.000572984	0	0	0	0
ASV3446	0	0	0	0	0	0
ASV893	0	0	0	0	0	0
ASV87	0.002148689	0.003151411	0.001002722	0.002578427	0.002864919	0.002005443
ASV148	0	0	0	0.000572984	0.002435181	0.002721673
ASV4659	0	0	0	0	0	0
ASV1144	0	0	0	0	0	0
ASV4001	0	0	0.001289214	0	0	0
ASV2403	0	0	0	0	0	0
ASV130	0.002148689	0.002578427	0.003151411	0.003437903	0.001862197	0.004440625
ASV1027	0	0	0	0	0	0
ASV4046	0	0	0.000859476	0	0	0
ASV1228	0	0	0	0	0	0
ASV4616	0	0	0	0	0	0
ASV2807	0.000286492	0	0	0	0	0
ASV2122	0	0	0	0	0	0
ASV1996	0	0	0	0	0	0
ASV4634	0	0	0	0	0	0
ASV3915	0	0	0	0	0	0.000143246
ASV1567	0	0.00071623	0	0	0	0
ASV1237	0	0	0	0	0	0
ASV1130	0	0	0.001289214	0.002005443	0	0
ASV2927	0	0	0	0.001862197	0	0
ASV4686	0	0	0	0	0	0
ASV670	0	0	0	0	0	0
ASV1455	0	0.001002722	0	0.000572984	0.002291935	0
ASV2065	0	0	0	0	0	0
ASV621	0	0.003008165	0	0.000572984	0.00071623	0.001002722
ASV449	0	0	0	0	0	0
ASV1936	0.000286492	0	0	0	0.000429738	0
ASV4577	0	0	0	0	0.000286492	0
ASV2344	0	0	0	0	0	0
ASV1170	0	0	0	0	0	0
ASV2332	0	0	0	0	0	0
ASV4016	0	0	0.00143246	0	0	0
ASV373	0.009310987	0.000143246	0	0	0.001145968	0.001718951
ASV3855	0	0	0	0	0	0.000286492
ASV1041	0	0	0.003581149	0	0	0
ASV1447	0	0.001862197	0	0	0	0
ASV3548	0	0	0	0	0	0
ASV2260	0	0	0	0	0	0
ASV1383	0	0.002578427	0	0.001862197	0.003151411	0
ASV3092	0	0	0	0.000429738	0	0
ASV1707	0	0.000286492	0	0	0	0
ASV3417	0	0	0	0	0	0
ASV163	0.002864919	0	0	0	0	0.003008165
ASV3597	0	0	0	0	0	0
ASV2359	0	0	0	0	0	0
ASV3019	0	0	0	0.000572984	0	0
ASV125	0.001289214	0.001289214	0.000572984	0.001575705	0.002864919	0.007162298
ASV95	0	0	0	0	0	0
ASV4403	0	0	0	0	0.000143246	0
ASV4125	0	0	0.000286492	0	0	0
ASV2999	0	0	0	0.001002722	0	0
ASV2591	0.00143246	0	0	0.001289214	0	0
ASV146	0.003151411	0.002291935	0	0.001002722	0.001862197	0.002864919
ASV4567	0	0	0	0	0.000143246	0
ASV4702	0	0	0	0	0	0
ASV1274	0	0	0	0	0	0
ASV1007	0	0.001145968	0	0.002148689	0.001862197	0.001002722
ASV2903	0	0	0	0.005873084	0	0
ASV1168	0	0	0	0	0	0
ASV318	0	0	0	0	0	0
