"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12","Abundance","Type","phylum","class","order","family","genus","species"
"ASV1046",0,0,0,0.000859476,0.000572984,0,0.000238743,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Penardia-lineage","g__Penardia-lineage_X","s__Penardia-lineage_X_sp."
"ASV3648",0,0,0,0,0,0.001862197,0.000310366,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV901",0.001575705,0.001862197,0.000859476,0.001862197,0.001289214,0,0.001241465,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Sandona","s__Sandona_sp."
"ASV28",0.011173184,0.01733276,0.016759777,0.009310987,0.016186793,0.008881249,0.013274125,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Neoheteromita","s__Neoheteromita_caudratti"
"ASV2614",0.001145968,0,0,0.003008165,0,0,0.000692355,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Phalansteriidae","g__Phalansterium","s__unclassified_g__Phalansterium"
"ASV4281",0,0,0,0,0.001002722,0,0.00016712,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV2687",0.00071623,0,0.000429738,0,0,0,0.000190995,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Paracercomonadidae","g__Paracercomonas","s__Paracercomonas_metabolica"
"ASV1601",0,0.000286492,0.001002722,0.00071623,0.000572984,0,0.000429738,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Thalassomyxa-lineage","g__Thalassomyxa-lineage_X","s__Thalassomyxa-lineage_X_sp."
"ASV87",0.002148689,0.003151411,0.001002722,0.002578427,0.002864919,0.002005443,0.002291935,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Filamoebidae","g__Filamoeba","s__unclassified_g__Filamoeba"
"ASV4001",0,0,0.001289214,0,0,0,0.000214869,"Pro","p__Ciliophora","c__Litostomatea","o__Haptoria","f__unclassified_o__Haptoria","g__unclassified_o__Haptoria","s__unclassified_o__Haptoria"
"ASV1130",0,0,0.001289214,0.002005443,0,0,0.000549109,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV2927",0,0,0,0.001862197,0,0,0.000310366,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV1455",0,0.001002722,0,0.000572984,0.002291935,0,0.000644607,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Allapsidae","g__Group-Te","s__Group-Te_sp."
"ASV621",0,0.003008165,0,0.000572984,0.00071623,0.001002722,0.00088335,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV4016",0,0,0.00143246,0,0,0,0.000238743,"Pro","p__Cercozoa","c__Cercozoa_X","o__Cercozoa_XX","f__Cercozoa_XXX","g__Cercozoa_XXXX","s__Cercozoa_XXXX_sp."
"ASV1041",0,0,0.003581149,0,0,0,0.000596858,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
