	LYL7	LYL8	LYL9	LYL10	LYL11	LYL12	Abundance	Type	phylum	class	order	family	genus	species
ASV723	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Thecofilosea	o__Filosa-Thecofilosea_X	f__Filosa-Thecofilosea_XX	g__Filosa-Thecofilosea_XXX	s__Filosa-Thecofilosea_XXX_sp.
ASV1532	0	0.00071623	0	0	0	0	0.000119372	Pro	p__Ciliophora	c__Spirotrichea	o__Hypotrichia	f__Oxytrichidae	g__unclassified_f__Oxytrichidae	s__unclassified_f__Oxytrichidae
ASV1349	0	0	0	0	0	0	0	Pro	p__Ciliophora	c__Oligohymenophorea	o__Scuticociliatia	f__Scuticociliatia_X	g__Scuticociliatia_XX	s__Scuticociliatia_XX_sp.
ASV4334	0	0	0	0	0.000429738	0	7.1623E-05	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Cercomonas	s__unclassified_g__Cercomonas
ASV1046	0	0	0	0.000859476	0.000572984	0	0.000238743	Pro	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__Penardia-lineage	g__Penardia-lineage_X	s__Penardia-lineage_X_sp.
ASV3519	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__unclassified_f__Cercomonadidae	s__unclassified_f__Cercomonadidae
ASV364	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Thecofilosea	o__Cryomonadida	f__Rhogostoma-lineage	g__Rhogostoma-lineage_X	s__Rhogostoma-lineage_X_sp.
ASV22	0.038676407	0.021916631	0.010027217	0.025927518	0.006589314	0.008594757	0.018621974	Pro	p__Apicomplexa	c__Apicomplexa_X	o__Gregarines	f__Gregarines_X	g__Stenophora	s__Stenophora_robusta
ASV1531	0	0.00071623	0	0	0	0	0.000119372	Pro	p__Ciliophora	c__Oligohymenophorea	o__Sessilida	f__Vorticellidae	g__unclassified_f__Vorticellidae	s__unclassified_f__Vorticellidae
ASV3648	0	0	0	0	0	0.001862197	0.000310366	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Variosea_XX	g__Variosea_XXX	s__Variosea_XXX_sp.
ASV901	0.001575705	0.001862197	0.000859476	0.001862197	0.001289214	0	0.001241465	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Sandona	s__Sandona_sp.
ASV28	0.011173184	0.01733276	0.016759777	0.009310987	0.016186793	0.008881249	0.013274125	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Neoheteromita	s__Neoheteromita_caudratti
ASV2832	0.000143246	0	0	0	0	0	2.38743E-05	Pro	p__unclassified_k__Opisthokonta	c__unclassified_k__Opisthokonta	o__unclassified_k__Opisthokonta	f__unclassified_k__Opisthokonta	g__unclassified_k__Opisthokonta	s__unclassified_k__Opisthokonta
ASV2614	0.001145968	0	0	0.003008165	0	0	0.000692355	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Phalansteriidae	g__Phalansterium	s__unclassified_g__Phalansterium
ASV4281	0	0	0	0	0.001002722	0	0.00016712	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Variosea_XX	g__Variosea_XXX	s__Variosea_XXX_sp.
ASV515	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa
ASV613	0	0	0	0.000286492	0	0	4.77487E-05	Pro	p__Cercozoa	c__Filosa-Granofilosea	o__Cryptofilida	f__Mesofilidae	g__Mesofilidae_X	s__Mesofilidae_X_sp.
ASV2687	0.00071623	0	0.000429738	0	0	0	0.000190995	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Paracercomonadidae	g__Paracercomonas	s__Paracercomonas_metabolica
ASV1601	0	0.000286492	0.001002722	0.00071623	0.000572984	0	0.000429738	Pro	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__Thalassomyxa-lineage	g__Thalassomyxa-lineage_X	s__Thalassomyxa-lineage_X_sp.
ASV953	0	0	0.000429738	0.000286492	0.000429738	0.000143246	0.000214869	Pro	p__Conosa	c__Variosea	o__ATCC50593-Flamella-WIM80-lineage	f__Flamella-lineage	g__Flamella	s__unclassified_g__Flamella
ASV2886	0.000286492	0	0	0	0	0	4.77487E-05	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Variosea_XX	g__Variosea_XXX	s__Variosea_XXX_sp.
