samples	plant_age	Available P	RLD	ALPA	TOAA	AMF 	ALP-producing bacteria	Protozoa abundance	Bacterivore abundance	Fungivore abundance	ALPB (PCo1) scores	Bacterivore (PCo1) scores	Network complexity	ALP-D	Protozoa-D	Bacterivore-D
s1	0.60882	7.24	320.32	8.12	19.6373057	6.46	4.83	5.44	6.66	1.57	-0.070947616	0.127762299	-0.74967	5.346825	4.850875	2.6579
s2	0.56241	6.56	268.38	7.47	19.77547496	5.68	4.55	5.78	7.44	1.79	-0.058758239	0.044207582	-0.68658	5.244249	4.934327	2.4457
s3	0.63232	7.02	348.75	8.55	19.79274611	7.12	5.12	6.17	7.15	1.68	-0.069355249	0.115580051	-1.15706	5.194554	4.661219	2.5254
s4	0.54412	6.43	227.04	7.12	17.68566494	6.88	3.87	6.44	6.89	1.62	-0.097688958	0.172971667	-1.28391	5.32275	4.934662	2.23
s5	0.543	6.12	362.67	7.03	19.62003454	5.59	3.79	5.44	7.22	1.74	-0.120307201	0.13141461	-0.8348	5.28588	4.690552	2.4366
s6	0.58808	7.01	287.64	6.88	17.80656304	6.62	4.66	7.11	7.88	1.89	-0.078198521	0.200645828	-0.80706	5.284667	3.52348	2.3151
s7	0.83541	7.41	341.82	10.22	25.77736891	8.94	6.66	7.88	9.66	2.32	0.081590986	-0.149285339	0.7347	5.069401	4.892763	3.1348
s8	0.7595	7.22	301.07	11.35	25.53817847	7.58	6.12	7.56	8.67	2.12	0.094524869	-0.077698415	1.51341	5.207718	5.048018	2.7402
s9	0.71995	8.11	378	9.74	27.17571297	8.12	7.01	9.22	8.46	2.04	0.060959193	-0.101930299	0.57561	5.149041	5.1125	2.7916
s10	0.77869	7.77	334.08	11.15	26.43054278	8.44	5.89	9.55	9.33	2.25	0.133995329	-0.033648638	1.0734	5.18911	5.015423	2.7111
s11	0.57984	8.14	371.84	9.48	25.5473781	7.82	7.14	7.49	8.44	2.05	0.082375268	-0.227728703	0.84297	5.184964	5.156845	2.9754
s12	0.73607	7.56	412.96	10.22	24.36982521	8.55	6.04	8.22	9.92	2.29	0.041810138	-0.202290644	0.77899	5.306975	4.90078	2.9809
